,MVT_GT_Bakersfield CA
2015-09-01 00:00:00,38
2015-12-01 00:00:00,94
2016-01-01 00:00:00,23
2016-02-01 00:00:00,33
2016-05-01 00:00:00,42
2016-06-01 00:00:00,26
2016-07-01 00:00:00,28
2016-10-01 00:00:00,22
2016-11-01 00:00:00,39
2016-12-01 00:00:00,24
2017-04-01 00:00:00,43
2017-05-01 00:00:00,58
2017-06-01 00:00:00,58
2017-07-01 00:00:00,27
2017-08-01 00:00:00,20
2017-09-01 00:00:00,23
2017-10-01 00:00:00,36
2017-11-01 00:00:00,59
2017-12-01 00:00:00,19
2018-02-01 00:00:00,28
2018-03-01 00:00:00,22
2018-04-01 00:00:00,41
2018-05-01 00:00:00,22
2018-06-01 00:00:00,42
2018-09-01 00:00:00,20
2018-11-01 00:00:00,19
2019-01-01 00:00:00,55
2019-02-01 00:00:00,69
2019-05-01 00:00:00,100
2019-06-01 00:00:00,39
2019-07-01 00:00:00,49
2019-08-01 00:00:00,28
2019-11-01 00:00:00,32
2019-12-01 00:00:00,21
2020-01-01 00:00:00,23
2020-03-01 00:00:00,25
2020-04-01 00:00:00,46
2020-05-01 00:00:00,26
2020-06-01 00:00:00,31
2020-07-01 00:00:00,30
2020-08-01 00:00:00,18
2020-09-01 00:00:00,31
2020-11-01 00:00:00,15
2020-12-01 00:00:00,18
2021-03-01 00:00:00,22
2021-04-01 00:00:00,15
2021-05-01 00:00:00,29
2021-06-01 00:00:00,82
2021-07-01 00:00:00,28
2021-10-01 00:00:00,37
2021-11-01 00:00:00,29
2022-02-01 00:00:00,26
2022-04-01 00:00:00,34
2022-07-01 00:00:00,17
2022-08-01 00:00:00,40
2022-10-01 00:00:00,19
