,MVT_GT_Colorado Springs-Pueblo CO
2015-08-01 00:00:00,41
2015-12-01 00:00:00,44
2016-03-01 00:00:00,60
2016-06-01 00:00:00,52
2016-08-01 00:00:00,100
2016-10-01 00:00:00,100
2016-12-01 00:00:00,66
2017-01-01 00:00:00,77
2017-02-01 00:00:00,61
2017-05-01 00:00:00,37
2017-08-01 00:00:00,38
2017-11-01 00:00:00,32
2017-12-01 00:00:00,36
2018-01-01 00:00:00,29
2018-02-01 00:00:00,52
2018-03-01 00:00:00,22
2018-04-01 00:00:00,41
2018-05-01 00:00:00,47
2018-06-01 00:00:00,47
2018-07-01 00:00:00,21
2018-08-01 00:00:00,35
2018-11-01 00:00:00,80
2018-12-01 00:00:00,56
2019-03-01 00:00:00,37
2019-04-01 00:00:00,77
2019-06-01 00:00:00,40
2019-07-01 00:00:00,49
2019-08-01 00:00:00,70
2019-10-01 00:00:00,53
2019-11-01 00:00:00,53
2019-12-01 00:00:00,35
2020-01-01 00:00:00,42
2020-03-01 00:00:00,35
2020-04-01 00:00:00,28
2020-05-01 00:00:00,25
2020-07-01 00:00:00,23
2020-08-01 00:00:00,30
2020-09-01 00:00:00,16
2020-10-01 00:00:00,24
2020-11-01 00:00:00,31
2020-12-01 00:00:00,30
2021-01-01 00:00:00,33
2021-02-01 00:00:00,18
2021-04-01 00:00:00,35
2021-06-01 00:00:00,54
2021-07-01 00:00:00,81
2021-09-01 00:00:00,38
2021-10-01 00:00:00,32
2021-12-01 00:00:00,28
2022-03-01 00:00:00,58
2022-04-01 00:00:00,37
2022-05-01 00:00:00,78
2022-06-01 00:00:00,37
2022-07-01 00:00:00,33
2022-08-01 00:00:00,19
2022-09-01 00:00:00,46
2022-12-01 00:00:00,43
