,MVT_GT_El Paso TX
2015-01-01 00:00:00,100
2015-09-01 00:00:00,30
2016-01-01 00:00:00,27
2016-05-01 00:00:00,21
2016-06-01 00:00:00,46
2017-01-01 00:00:00,20
2017-02-01 00:00:00,58
2017-06-01 00:00:00,32
2017-09-01 00:00:00,14
2017-11-01 00:00:00,35
2018-01-01 00:00:00,34
2018-03-01 00:00:00,30
2018-04-01 00:00:00,14
2018-06-01 00:00:00,15
2018-11-01 00:00:00,18
2019-02-01 00:00:00,43
2019-04-01 00:00:00,19
2019-05-01 00:00:00,14
2019-09-01 00:00:00,49
2019-10-01 00:00:00,28
2020-02-01 00:00:00,16
2020-03-01 00:00:00,9
2020-05-01 00:00:00,21
2020-06-01 00:00:00,20
2020-11-01 00:00:00,10
2020-12-01 00:00:00,22
2021-01-01 00:00:00,66
2021-02-01 00:00:00,27
2021-06-01 00:00:00,12
2021-07-01 00:00:00,80
2021-08-01 00:00:00,34
2021-12-01 00:00:00,36
2022-03-01 00:00:00,9
2022-04-01 00:00:00,21
2022-05-01 00:00:00,9
2022-07-01 00:00:00,20
2022-09-01 00:00:00,45
