,MVT_GT_El Paso TX
2015-01-01 00:00:00,80
2015-02-01 00:00:00,100
2015-05-01 00:00:00,54
2015-07-01 00:00:00,40
2016-03-01 00:00:00,45
2016-04-01 00:00:00,43
2016-06-01 00:00:00,60
2016-09-01 00:00:00,22
2017-04-01 00:00:00,37
2017-05-01 00:00:00,17
2017-06-01 00:00:00,22
2018-03-01 00:00:00,69
2018-04-01 00:00:00,18
2018-05-01 00:00:00,75
2018-06-01 00:00:00,48
2018-07-01 00:00:00,36
2018-08-01 00:00:00,18
2018-09-01 00:00:00,30
2019-02-01 00:00:00,30
2019-06-01 00:00:00,38
2019-07-01 00:00:00,25
2019-08-01 00:00:00,34
2019-09-01 00:00:00,32
2019-12-01 00:00:00,14
2020-03-01 00:00:00,35
2020-05-01 00:00:00,27
2020-07-01 00:00:00,12
2020-08-01 00:00:00,31
2020-10-01 00:00:00,13
2020-12-01 00:00:00,32
2021-03-01 00:00:00,24
2021-05-01 00:00:00,21
2021-06-01 00:00:00,40
2021-07-01 00:00:00,65
2021-11-01 00:00:00,29
2021-12-01 00:00:00,30
2022-01-01 00:00:00,87
2022-03-01 00:00:00,16
2022-04-01 00:00:00,45
2022-05-01 00:00:00,24
2022-07-01 00:00:00,34
2022-09-01 00:00:00,37
2022-10-01 00:00:00,15
2022-12-01 00:00:00,43
