,MVT_GT_Jacksonville FL
2015-01-01 00:00:00,27
2015-02-01 00:00:00,29
2015-05-01 00:00:00,100
2015-10-01 00:00:00,27
2015-12-01 00:00:00,82
2016-01-01 00:00:00,13
2016-02-01 00:00:00,12
2016-03-01 00:00:00,33
2016-04-01 00:00:00,20
2016-06-01 00:00:00,66
2016-08-01 00:00:00,28
2016-09-01 00:00:00,30
2017-04-01 00:00:00,42
2017-05-01 00:00:00,24
2017-06-01 00:00:00,12
2017-07-01 00:00:00,55
2017-11-01 00:00:00,12
2017-12-01 00:00:00,16
2018-05-01 00:00:00,27
2018-06-01 00:00:00,31
2018-07-01 00:00:00,23
2018-08-01 00:00:00,16
2018-09-01 00:00:00,29
2018-11-01 00:00:00,28
2018-12-01 00:00:00,24
2019-02-01 00:00:00,43
2019-03-01 00:00:00,22
2019-04-01 00:00:00,30
2019-05-01 00:00:00,37
2019-06-01 00:00:00,38
2019-07-01 00:00:00,27
2019-10-01 00:00:00,26
2019-11-01 00:00:00,41
2019-12-01 00:00:00,24
2020-01-01 00:00:00,39
2020-02-01 00:00:00,33
2020-03-01 00:00:00,17
2020-04-01 00:00:00,16
2020-05-01 00:00:00,9
2020-06-01 00:00:00,12
2020-08-01 00:00:00,36
2020-09-01 00:00:00,8
2020-12-01 00:00:00,17
2021-01-01 00:00:00,25
2021-02-01 00:00:00,18
2021-03-01 00:00:00,51
2021-05-01 00:00:00,17
2021-06-01 00:00:00,23
2021-07-01 00:00:00,10
2021-08-01 00:00:00,21
2021-09-01 00:00:00,33
2021-11-01 00:00:00,48
2021-12-01 00:00:00,31
2022-01-01 00:00:00,29
2022-02-01 00:00:00,37
2022-03-01 00:00:00,16
2022-04-01 00:00:00,19
2022-07-01 00:00:00,16
2022-08-01 00:00:00,21
2022-09-01 00:00:00,41
2022-10-01 00:00:00,23
2022-11-01 00:00:00,16
2022-12-01 00:00:00,38
