,MVT_GT_Omaha NE
2015-03-01 00:00:00,27
2015-07-01 00:00:00,81
2015-08-01 00:00:00,31
2015-10-01 00:00:00,33
2015-11-01 00:00:00,50
2016-01-01 00:00:00,45
2016-03-01 00:00:00,50
2016-04-01 00:00:00,36
2016-07-01 00:00:00,20
2016-08-01 00:00:00,23
2016-10-01 00:00:00,58
2016-11-01 00:00:00,33
2016-12-01 00:00:00,23
2017-03-01 00:00:00,23
2017-04-01 00:00:00,30
2017-06-01 00:00:00,24
2017-07-01 00:00:00,18
2017-10-01 00:00:00,26
2017-11-01 00:00:00,27
2018-01-01 00:00:00,33
2018-02-01 00:00:00,37
2018-03-01 00:00:00,18
2018-04-01 00:00:00,17
2018-05-01 00:00:00,32
2018-07-01 00:00:00,22
2018-09-01 00:00:00,59
2018-10-01 00:00:00,18
2018-11-01 00:00:00,25
2019-05-01 00:00:00,43
2019-07-01 00:00:00,49
2019-09-01 00:00:00,20
2019-10-01 00:00:00,22
2019-12-01 00:00:00,19
2020-01-01 00:00:00,15
2020-02-01 00:00:00,30
2020-05-01 00:00:00,36
2020-06-01 00:00:00,34
2020-07-01 00:00:00,32
2020-08-01 00:00:00,11
2020-09-01 00:00:00,20
2020-10-01 00:00:00,34
2020-12-01 00:00:00,12
2021-01-01 00:00:00,12
2021-03-01 00:00:00,13
2021-04-01 00:00:00,15
2021-05-01 00:00:00,38
2021-07-01 00:00:00,36
2021-10-01 00:00:00,32
2021-12-01 00:00:00,54
2022-01-01 00:00:00,44
2022-02-01 00:00:00,100
2022-03-01 00:00:00,32
2022-04-01 00:00:00,54
2022-05-01 00:00:00,35
2022-06-01 00:00:00,30
2022-07-01 00:00:00,25
2022-08-01 00:00:00,19
2022-09-01 00:00:00,34
2022-10-01 00:00:00,18
2022-11-01 00:00:00,30
2022-12-01 00:00:00,33
