,MVT_GT_Bakersfield CA
2015-02-01 00:00:00,83
2015-04-01 00:00:00,81
2015-05-01 00:00:00,100
2015-06-01 00:00:00,62
2015-07-01 00:00:00,52
2016-07-01 00:00:00,30
2016-10-01 00:00:00,48
2016-12-01 00:00:00,34
2017-03-01 00:00:00,34
2017-04-01 00:00:00,41
2017-07-01 00:00:00,24
2017-08-01 00:00:00,69
2017-09-01 00:00:00,59
2018-01-01 00:00:00,66
2018-06-01 00:00:00,26
2018-11-01 00:00:00,85
2019-02-01 00:00:00,53
2019-03-01 00:00:00,53
2019-05-01 00:00:00,30
2019-06-01 00:00:00,34
2019-07-01 00:00:00,25
2019-08-01 00:00:00,51
2019-10-01 00:00:00,24
2019-11-01 00:00:00,28
2020-03-01 00:00:00,80
2020-05-01 00:00:00,29
2020-07-01 00:00:00,25
2020-11-01 00:00:00,18
2020-12-01 00:00:00,20
2021-01-01 00:00:00,38
2021-03-01 00:00:00,23
2021-04-01 00:00:00,32
2021-05-01 00:00:00,52
2021-06-01 00:00:00,40
2021-07-01 00:00:00,28
2021-08-01 00:00:00,27
2021-10-01 00:00:00,18
2021-11-01 00:00:00,76
2021-12-01 00:00:00,34
2022-02-01 00:00:00,16
2022-03-01 00:00:00,14
2022-04-01 00:00:00,32
2022-07-01 00:00:00,38
2022-08-01 00:00:00,28
2022-09-01 00:00:00,38
2022-10-01 00:00:00,19
2022-11-01 00:00:00,41
2022-12-01 00:00:00,48
