,MVT_GT_San Diego CA
2015-01-01 00:00:00,36
2015-02-01 00:00:00,46
2015-03-01 00:00:00,28
2015-04-01 00:00:00,53
2015-05-01 00:00:00,48
2015-06-01 00:00:00,56
2015-07-01 00:00:00,49
2015-08-01 00:00:00,59
2015-09-01 00:00:00,33
2015-10-01 00:00:00,14
2015-11-01 00:00:00,25
2015-12-01 00:00:00,100
2016-01-01 00:00:00,54
2016-02-01 00:00:00,72
2016-03-01 00:00:00,53
2016-04-01 00:00:00,51
2016-05-01 00:00:00,38
2016-06-01 00:00:00,60
2016-07-01 00:00:00,35
2016-08-01 00:00:00,58
2016-09-01 00:00:00,52
2016-10-01 00:00:00,52
2016-11-01 00:00:00,41
2016-12-01 00:00:00,42
2017-01-01 00:00:00,76
2017-02-01 00:00:00,52
2017-03-01 00:00:00,35
2019-03-01 00:00:00,68
2019-05-01 00:00:00,50
2020-02-01 00:00:00,41
