,MVT_GT_Austin TX
2015-01-01 00:00:00,30
2015-05-01 00:00:00,72
2015-06-01 00:00:00,50
2015-10-01 00:00:00,23
2015-12-01 00:00:00,22
2016-02-01 00:00:00,18
2016-03-01 00:00:00,39
2016-04-01 00:00:00,25
2016-05-01 00:00:00,39
2016-07-01 00:00:00,22
2016-08-01 00:00:00,16
2016-09-01 00:00:00,52
2016-10-01 00:00:00,28
2016-11-01 00:00:00,29
2016-12-01 00:00:00,19
2017-01-01 00:00:00,27
2017-02-01 00:00:00,100
2017-03-01 00:00:00,25
2017-04-01 00:00:00,59
2017-05-01 00:00:00,52
2017-06-01 00:00:00,39
2017-08-01 00:00:00,42
2017-09-01 00:00:00,36
2017-10-01 00:00:00,35
2017-11-01 00:00:00,49
2017-12-01 00:00:00,26
2018-01-01 00:00:00,49
2018-02-01 00:00:00,52
2018-04-01 00:00:00,26
2018-05-01 00:00:00,36
2018-06-01 00:00:00,48
2018-07-01 00:00:00,56
2018-08-01 00:00:00,53
2018-09-01 00:00:00,44
2018-10-01 00:00:00,28
2018-11-01 00:00:00,94
2018-12-01 00:00:00,15
2019-01-01 00:00:00,15
2019-02-01 00:00:00,36
2019-03-01 00:00:00,20
2019-04-01 00:00:00,59
2019-05-01 00:00:00,51
2019-07-01 00:00:00,24
2019-08-01 00:00:00,33
2019-10-01 00:00:00,65
2019-11-01 00:00:00,22
2019-12-01 00:00:00,50
2020-01-01 00:00:00,55
2020-02-01 00:00:00,52
2020-03-01 00:00:00,28
2020-04-01 00:00:00,36
2020-05-01 00:00:00,29
2020-06-01 00:00:00,42
2020-07-01 00:00:00,32
2020-08-01 00:00:00,55
2020-10-01 00:00:00,14
2020-11-01 00:00:00,72
2021-01-01 00:00:00,28
2021-02-01 00:00:00,50
2021-03-01 00:00:00,65
2021-04-01 00:00:00,47
2021-05-01 00:00:00,17
2021-06-01 00:00:00,54
2021-07-01 00:00:00,61
2021-08-01 00:00:00,20
2021-09-01 00:00:00,41
2021-10-01 00:00:00,25
2021-11-01 00:00:00,52
2021-12-01 00:00:00,49
2022-01-01 00:00:00,30
2022-02-01 00:00:00,38
2022-03-01 00:00:00,71
2022-04-01 00:00:00,52
2022-05-01 00:00:00,44
2022-06-01 00:00:00,63
2022-07-01 00:00:00,43
2022-08-01 00:00:00,81
2022-09-01 00:00:00,51
2022-10-01 00:00:00,52
2022-11-01 00:00:00,56
2022-12-01 00:00:00,78
