,MVT_GT_Wichita-Hutchinson KS
2015-02-01 00:00:00,55
2015-03-01 00:00:00,42
2015-05-01 00:00:00,63
2015-08-01 00:00:00,100
2015-10-01 00:00:00,56
2015-12-01 00:00:00,63
2016-02-01 00:00:00,31
2016-08-01 00:00:00,28
2016-11-01 00:00:00,39
2017-01-01 00:00:00,39
2017-04-01 00:00:00,61
2017-05-01 00:00:00,59
2017-08-01 00:00:00,31
2017-10-01 00:00:00,26
2017-11-01 00:00:00,75
2018-01-01 00:00:00,57
2018-02-01 00:00:00,31
2018-05-01 00:00:00,42
2018-06-01 00:00:00,77
2018-09-01 00:00:00,44
2018-10-01 00:00:00,76
2018-12-01 00:00:00,86
2019-03-01 00:00:00,30
2019-04-01 00:00:00,72
2019-05-01 00:00:00,56
2019-06-01 00:00:00,34
2019-09-01 00:00:00,40
2019-11-01 00:00:00,32
2020-01-01 00:00:00,33
2020-02-01 00:00:00,55
2020-04-01 00:00:00,18
2020-05-01 00:00:00,37
2020-08-01 00:00:00,91
2020-12-01 00:00:00,90
2021-01-01 00:00:00,58
2021-03-01 00:00:00,62
2021-04-01 00:00:00,52
2021-05-01 00:00:00,29
2021-08-01 00:00:00,63
2021-10-01 00:00:00,25
2021-12-01 00:00:00,44
2022-02-01 00:00:00,58
2022-03-01 00:00:00,37
2022-05-01 00:00:00,37
2022-06-01 00:00:00,47
2022-07-01 00:00:00,83
2022-08-01 00:00:00,30
2022-09-01 00:00:00,37
2022-10-01 00:00:00,29
2022-12-01 00:00:00,21
