,MVT_GT_Wichita-Hutchinson KS
2015-01-01 00:00:00,65
2015-02-01 00:00:00,18
2015-03-01 00:00:00,33
2015-05-01 00:00:00,43
2015-07-01 00:00:00,100
2015-09-01 00:00:00,20
2015-10-01 00:00:00,28
2015-12-01 00:00:00,44
2016-01-01 00:00:00,12
2016-04-01 00:00:00,15
2016-06-01 00:00:00,17
2016-09-01 00:00:00,31
2016-11-01 00:00:00,36
2017-02-01 00:00:00,15
2017-04-01 00:00:00,46
2017-05-01 00:00:00,17
2017-10-01 00:00:00,49
2017-11-01 00:00:00,25
2017-12-01 00:00:00,25
2018-01-01 00:00:00,36
2018-02-01 00:00:00,32
2018-03-01 00:00:00,20
2018-04-01 00:00:00,30
2018-05-01 00:00:00,17
2018-06-01 00:00:00,17
2018-09-01 00:00:00,36
2018-11-01 00:00:00,23
2018-12-01 00:00:00,24
2019-02-01 00:00:00,55
2019-04-01 00:00:00,24
2019-06-01 00:00:00,14
2019-10-01 00:00:00,16
2019-12-01 00:00:00,16
2020-01-01 00:00:00,20
2020-02-01 00:00:00,12
2020-03-01 00:00:00,13
2020-05-01 00:00:00,14
2020-09-01 00:00:00,51
2020-11-01 00:00:00,13
2020-12-01 00:00:00,21
2021-01-01 00:00:00,21
2021-02-01 00:00:00,15
2021-03-01 00:00:00,32
2021-05-01 00:00:00,23
2021-07-01 00:00:00,15
2021-11-01 00:00:00,35
2021-12-01 00:00:00,21
2022-02-01 00:00:00,15
2022-03-01 00:00:00,17
2022-05-01 00:00:00,11
2022-06-01 00:00:00,25
2022-07-01 00:00:00,37
2022-08-01 00:00:00,31
2022-09-01 00:00:00,35
2022-12-01 00:00:00,20
