,MVT_GT_El Paso TX
2015-09-01 00:00:00,100
2016-03-01 00:00:00,63
2016-09-01 00:00:00,39
2016-10-01 00:00:00,51
2017-04-01 00:00:00,22
2017-06-01 00:00:00,22
2017-08-01 00:00:00,32
2017-11-01 00:00:00,76
2017-12-01 00:00:00,59
2018-08-01 00:00:00,29
2018-10-01 00:00:00,83
2019-03-01 00:00:00,63
2019-04-01 00:00:00,19
2019-07-01 00:00:00,88
2019-08-01 00:00:00,22
2019-11-01 00:00:00,21
2020-05-01 00:00:00,32
2020-06-01 00:00:00,20
2020-12-01 00:00:00,31
2021-01-01 00:00:00,21
2021-02-01 00:00:00,28
2021-05-01 00:00:00,17
2021-06-01 00:00:00,28
2021-07-01 00:00:00,33
2021-08-01 00:00:00,41
2021-09-01 00:00:00,19
2021-10-01 00:00:00,45
2021-12-01 00:00:00,28
2022-01-01 00:00:00,23
2022-02-01 00:00:00,16
2022-04-01 00:00:00,38
2022-05-01 00:00:00,14
2022-06-01 00:00:00,15
2022-08-01 00:00:00,16
2022-09-01 00:00:00,46
