,MVT_GT_Jacksonville FL
2015-02-01 00:00:00,62
2015-03-01 00:00:00,42
2015-04-01 00:00:00,43
2015-05-01 00:00:00,66
2015-12-01 00:00:00,30
2016-02-01 00:00:00,28
2016-04-01 00:00:00,100
2016-05-01 00:00:00,18
2016-12-01 00:00:00,42
2017-02-01 00:00:00,26
2017-03-01 00:00:00,32
2017-04-01 00:00:00,40
2017-06-01 00:00:00,35
2017-07-01 00:00:00,70
2017-10-01 00:00:00,17
2018-01-01 00:00:00,29
2018-02-01 00:00:00,15
2018-03-01 00:00:00,52
2018-04-01 00:00:00,28
2018-05-01 00:00:00,40
2018-06-01 00:00:00,24
2018-07-01 00:00:00,30
2018-08-01 00:00:00,33
2018-09-01 00:00:00,55
2018-10-01 00:00:00,54
2018-11-01 00:00:00,45
2018-12-01 00:00:00,18
2019-01-01 00:00:00,21
2019-02-01 00:00:00,13
2019-03-01 00:00:00,29
2019-04-01 00:00:00,36
2019-05-01 00:00:00,35
2019-06-01 00:00:00,33
2019-07-01 00:00:00,74
2019-08-01 00:00:00,23
2019-09-01 00:00:00,14
2019-10-01 00:00:00,45
2019-11-01 00:00:00,42
2019-12-01 00:00:00,29
2020-01-01 00:00:00,38
2020-02-01 00:00:00,12
2020-03-01 00:00:00,16
2020-04-01 00:00:00,15
2020-05-01 00:00:00,12
2020-06-01 00:00:00,26
2020-07-01 00:00:00,24
2020-08-01 00:00:00,64
2020-09-01 00:00:00,13
2020-10-01 00:00:00,31
2020-11-01 00:00:00,33
2020-12-01 00:00:00,24
2021-02-01 00:00:00,26
2021-03-01 00:00:00,14
2021-04-01 00:00:00,14
2021-05-01 00:00:00,19
2021-06-01 00:00:00,21
2021-07-01 00:00:00,28
2021-08-01 00:00:00,25
2021-09-01 00:00:00,37
2021-10-01 00:00:00,20
2021-11-01 00:00:00,35
2021-12-01 00:00:00,20
2022-02-01 00:00:00,25
2022-03-01 00:00:00,21
2022-04-01 00:00:00,40
2022-07-01 00:00:00,23
2022-09-01 00:00:00,33
2022-10-01 00:00:00,21
2022-11-01 00:00:00,34
2022-12-01 00:00:00,30
