,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-01-01 00:00:00,63
2015-03-01 00:00:00,33
2015-04-01 00:00:00,92
2015-07-01 00:00:00,85
2015-08-01 00:00:00,46
2015-09-01 00:00:00,56
2015-10-01 00:00:00,44
2015-12-01 00:00:00,33
2016-02-01 00:00:00,37
2016-03-01 00:00:00,82
2016-05-01 00:00:00,35
2016-06-01 00:00:00,58
2016-07-01 00:00:00,23
2016-08-01 00:00:00,81
2016-09-01 00:00:00,38
2016-10-01 00:00:00,19
2016-11-01 00:00:00,60
2016-12-01 00:00:00,67
2017-01-01 00:00:00,47
2017-02-01 00:00:00,47
2017-03-01 00:00:00,35
2017-04-01 00:00:00,27
2017-05-01 00:00:00,41
2017-07-01 00:00:00,67
2017-08-01 00:00:00,51
2017-09-01 00:00:00,19
2017-10-01 00:00:00,85
2017-11-01 00:00:00,57
2017-12-01 00:00:00,62
2018-02-01 00:00:00,29
2018-04-01 00:00:00,33
2018-06-01 00:00:00,53
2018-07-01 00:00:00,75
2018-08-01 00:00:00,53
2018-09-01 00:00:00,40
2018-10-01 00:00:00,88
2018-11-01 00:00:00,67
2018-12-01 00:00:00,61
2019-01-01 00:00:00,14
2019-02-01 00:00:00,51
2019-04-01 00:00:00,61
2019-05-01 00:00:00,55
2019-07-01 00:00:00,68
2019-08-01 00:00:00,54
2019-09-01 00:00:00,50
2019-11-01 00:00:00,19
2019-12-01 00:00:00,66
2020-01-01 00:00:00,40
2020-02-01 00:00:00,43
2020-03-01 00:00:00,12
2020-04-01 00:00:00,38
2020-06-01 00:00:00,59
2020-07-01 00:00:00,60
2020-08-01 00:00:00,31
2020-09-01 00:00:00,89
2020-10-01 00:00:00,45
2020-12-01 00:00:00,61
2021-01-01 00:00:00,60
2021-02-01 00:00:00,45
2021-03-01 00:00:00,52
2021-04-01 00:00:00,62
2021-05-01 00:00:00,74
2021-06-01 00:00:00,26
2021-07-01 00:00:00,45
2021-08-01 00:00:00,38
2021-09-01 00:00:00,15
2021-10-01 00:00:00,68
2021-11-01 00:00:00,63
2021-12-01 00:00:00,90
2022-01-01 00:00:00,33
2022-02-01 00:00:00,89
2022-03-01 00:00:00,34
2022-04-01 00:00:00,100
2022-05-01 00:00:00,41
2022-06-01 00:00:00,77
2022-07-01 00:00:00,73
2022-08-01 00:00:00,90
2022-09-01 00:00:00,38
2022-10-01 00:00:00,56
2022-11-01 00:00:00,34
2022-12-01 00:00:00,83
