,MVT_GT_Colorado Springs-Pueblo CO
2015-01-01 00:00:00,51
2015-03-01 00:00:00,49
2015-04-01 00:00:00,47
2015-05-01 00:00:00,50
2015-07-01 00:00:00,67
2015-09-01 00:00:00,41
2016-03-01 00:00:00,22
2016-05-01 00:00:00,19
2016-06-01 00:00:00,25
2016-07-01 00:00:00,22
2016-08-01 00:00:00,29
2016-12-01 00:00:00,17
2017-01-01 00:00:00,42
2017-02-01 00:00:00,30
2017-03-01 00:00:00,54
2017-06-01 00:00:00,37
2017-07-01 00:00:00,45
2017-08-01 00:00:00,30
2017-09-01 00:00:00,35
2017-10-01 00:00:00,26
2017-11-01 00:00:00,35
2018-01-01 00:00:00,24
2018-02-01 00:00:00,49
2018-05-01 00:00:00,25
2018-07-01 00:00:00,41
2018-08-01 00:00:00,26
2018-09-01 00:00:00,28
2018-10-01 00:00:00,20
2018-11-01 00:00:00,14
2018-12-01 00:00:00,30
2019-01-01 00:00:00,20
2019-03-01 00:00:00,23
2019-04-01 00:00:00,72
2019-06-01 00:00:00,25
2019-07-01 00:00:00,60
2019-08-01 00:00:00,54
2019-10-01 00:00:00,51
2020-01-01 00:00:00,70
2020-02-01 00:00:00,25
2020-06-01 00:00:00,37
2020-07-01 00:00:00,33
2020-09-01 00:00:00,23
2021-01-01 00:00:00,42
2021-02-01 00:00:00,48
2021-07-01 00:00:00,44
2021-09-01 00:00:00,100
2021-10-01 00:00:00,41
2021-12-01 00:00:00,22
2022-02-01 00:00:00,32
2022-03-01 00:00:00,31
2022-04-01 00:00:00,35
2022-07-01 00:00:00,23
2022-08-01 00:00:00,33
2022-11-01 00:00:00,14
