,MVT_GT_Columbus OH
2015-01-01 00:00:00,14
2015-02-01 00:00:00,26
2015-03-01 00:00:00,73
2015-04-01 00:00:00,24
2015-05-01 00:00:00,36
2015-07-01 00:00:00,47
2015-08-01 00:00:00,19
2015-09-01 00:00:00,31
2016-01-01 00:00:00,30
2016-02-01 00:00:00,11
2016-03-01 00:00:00,16
2016-04-01 00:00:00,15
2016-05-01 00:00:00,28
2016-06-01 00:00:00,33
2016-07-01 00:00:00,43
2016-09-01 00:00:00,18
2016-10-01 00:00:00,30
2016-11-01 00:00:00,21
2016-12-01 00:00:00,18
2017-01-01 00:00:00,23
2017-02-01 00:00:00,34
2017-03-01 00:00:00,22
2017-04-01 00:00:00,19
2017-05-01 00:00:00,39
2017-06-01 00:00:00,17
2017-07-01 00:00:00,13
2017-08-01 00:00:00,14
2017-10-01 00:00:00,16
2017-11-01 00:00:00,27
2018-01-01 00:00:00,28
2018-02-01 00:00:00,27
2018-03-01 00:00:00,13
2018-06-01 00:00:00,11
2018-07-01 00:00:00,91
2018-08-01 00:00:00,33
2018-10-01 00:00:00,11
2018-11-01 00:00:00,34
2018-12-01 00:00:00,37
2019-01-01 00:00:00,38
2019-02-01 00:00:00,41
2019-03-01 00:00:00,21
2019-04-01 00:00:00,17
2019-05-01 00:00:00,41
2019-06-01 00:00:00,21
2019-07-01 00:00:00,33
2019-08-01 00:00:00,40
2019-09-01 00:00:00,36
2019-10-01 00:00:00,24
2019-11-01 00:00:00,15
2019-12-01 00:00:00,35
2020-01-01 00:00:00,17
2020-02-01 00:00:00,28
2020-04-01 00:00:00,36
2020-05-01 00:00:00,7
2020-06-01 00:00:00,20
2020-07-01 00:00:00,29
2020-08-01 00:00:00,9
2020-09-01 00:00:00,14
2020-10-01 00:00:00,33
2020-11-01 00:00:00,46
2020-12-01 00:00:00,39
2021-01-01 00:00:00,37
2021-02-01 00:00:00,33
2021-03-01 00:00:00,41
2021-05-01 00:00:00,19
2021-06-01 00:00:00,26
2021-07-01 00:00:00,100
2021-08-01 00:00:00,37
2021-09-01 00:00:00,21
2021-10-01 00:00:00,24
2021-11-01 00:00:00,16
2021-12-01 00:00:00,33
2022-01-01 00:00:00,44
2022-02-01 00:00:00,51
2022-03-01 00:00:00,48
2022-04-01 00:00:00,35
2022-05-01 00:00:00,49
2022-06-01 00:00:00,39
2022-07-01 00:00:00,52
2022-08-01 00:00:00,41
2022-09-01 00:00:00,43
2022-10-01 00:00:00,44
2022-11-01 00:00:00,46
2022-12-01 00:00:00,65
