,MVT_GT_Colorado Springs-Pueblo CO
2015-10-01 00:00:00,100
2016-05-01 00:00:00,24
2016-06-01 00:00:00,37
2016-08-01 00:00:00,38
2016-11-01 00:00:00,46
2017-01-01 00:00:00,35
2017-02-01 00:00:00,52
2017-04-01 00:00:00,26
2017-05-01 00:00:00,39
2017-07-01 00:00:00,21
2017-08-01 00:00:00,59
2017-11-01 00:00:00,28
2017-12-01 00:00:00,35
2018-02-01 00:00:00,34
2018-04-01 00:00:00,28
2018-05-01 00:00:00,31
2018-06-01 00:00:00,40
2018-07-01 00:00:00,18
2018-08-01 00:00:00,28
2018-11-01 00:00:00,43
2019-01-01 00:00:00,69
2019-03-01 00:00:00,29
2019-04-01 00:00:00,37
2019-06-01 00:00:00,36
2019-07-01 00:00:00,50
2019-08-01 00:00:00,33
2019-11-01 00:00:00,42
2019-12-01 00:00:00,35
2020-01-01 00:00:00,45
2020-02-01 00:00:00,56
2020-04-01 00:00:00,16
2020-06-01 00:00:00,20
2020-07-01 00:00:00,54
2020-08-01 00:00:00,25
2020-11-01 00:00:00,15
2020-12-01 00:00:00,51
2021-01-01 00:00:00,39
2021-02-01 00:00:00,20
2021-03-01 00:00:00,23
2021-05-01 00:00:00,21
2021-07-01 00:00:00,99
2021-09-01 00:00:00,30
2021-11-01 00:00:00,23
2022-02-01 00:00:00,60
2022-03-01 00:00:00,37
2022-04-01 00:00:00,23
2022-05-01 00:00:00,41
2022-07-01 00:00:00,62
2022-08-01 00:00:00,28
2022-09-01 00:00:00,31
2022-11-01 00:00:00,15
2022-12-01 00:00:00,19
