,MVT_GT_Norfolk-Portsmouth-Newport News VA
2015-01-01 00:00:00,59
2015-02-01 00:00:00,77
2015-03-01 00:00:00,36
2015-04-01 00:00:00,78
2015-06-01 00:00:00,40
2015-07-01 00:00:00,49
2015-10-01 00:00:00,100
2015-11-01 00:00:00,78
2015-12-01 00:00:00,69
2016-02-01 00:00:00,54
2016-03-01 00:00:00,84
2016-04-01 00:00:00,21
2016-05-01 00:00:00,20
2016-06-01 00:00:00,25
2016-09-01 00:00:00,23
2016-10-01 00:00:00,29
2016-11-01 00:00:00,33
2016-12-01 00:00:00,25
2017-01-01 00:00:00,28
2017-02-01 00:00:00,26
2017-03-01 00:00:00,44
2017-04-01 00:00:00,44
2017-06-01 00:00:00,25
2017-08-01 00:00:00,32
2017-09-01 00:00:00,34
2017-10-01 00:00:00,37
2017-11-01 00:00:00,48
2017-12-01 00:00:00,45
2018-01-01 00:00:00,24
2018-02-01 00:00:00,77
2018-03-01 00:00:00,38
2018-04-01 00:00:00,28
2018-05-01 00:00:00,64
2018-06-01 00:00:00,74
2018-07-01 00:00:00,32
2018-08-01 00:00:00,45
2018-09-01 00:00:00,24
2018-10-01 00:00:00,49
2018-11-01 00:00:00,27
2019-01-01 00:00:00,30
2019-04-01 00:00:00,19
2019-05-01 00:00:00,54
2019-06-01 00:00:00,51
2019-08-01 00:00:00,63
2019-09-01 00:00:00,45
2019-10-01 00:00:00,58
2019-11-01 00:00:00,46
2019-12-01 00:00:00,54
2020-01-01 00:00:00,71
2020-02-01 00:00:00,33
2020-03-01 00:00:00,36
2020-04-01 00:00:00,14
2020-06-01 00:00:00,78
2020-08-01 00:00:00,58
2020-10-01 00:00:00,48
2020-11-01 00:00:00,40
2020-12-01 00:00:00,35
2021-01-01 00:00:00,37
2021-02-01 00:00:00,64
2021-05-01 00:00:00,74
2021-06-01 00:00:00,19
2021-07-01 00:00:00,41
2021-08-01 00:00:00,51
2021-09-01 00:00:00,49
2021-10-01 00:00:00,22
2021-11-01 00:00:00,66
2021-12-01 00:00:00,92
2022-01-01 00:00:00,84
2022-03-01 00:00:00,21
2022-04-01 00:00:00,26
2022-05-01 00:00:00,47
2022-06-01 00:00:00,77
2022-07-01 00:00:00,82
2022-08-01 00:00:00,71
2022-10-01 00:00:00,55
2022-11-01 00:00:00,19
2022-12-01 00:00:00,81
