,MVT_GT_Seattle-Tacoma WA
2015-01-01 00:00:00,38
2015-02-01 00:00:00,27
2015-03-01 00:00:00,26
2015-04-01 00:00:00,62
2015-05-01 00:00:00,30
2015-06-01 00:00:00,25
2015-07-01 00:00:00,38
2015-08-01 00:00:00,36
2015-09-01 00:00:00,38
2015-10-01 00:00:00,97
2015-11-01 00:00:00,47
2015-12-01 00:00:00,46
2016-01-01 00:00:00,63
2016-02-01 00:00:00,33
2016-03-01 00:00:00,53
2016-04-01 00:00:00,76
2016-05-01 00:00:00,49
2016-06-01 00:00:00,55
2016-07-01 00:00:00,54
2016-08-01 00:00:00,83
2016-09-01 00:00:00,70
2016-10-01 00:00:00,80
2016-11-01 00:00:00,72
2016-12-01 00:00:00,38
2017-07-01 00:00:00,74
2017-09-01 00:00:00,38
2019-03-01 00:00:00,45
2019-04-01 00:00:00,62
2020-12-01 00:00:00,61
2021-01-01 00:00:00,43
2021-07-01 00:00:00,65
2021-10-01 00:00:00,81
2022-03-01 00:00:00,97
2022-07-01 00:00:00,100
