,MVT_GT_Omaha NE
2015-02-01 00:00:00,38
2015-03-01 00:00:00,24
2015-06-01 00:00:00,39
2015-07-01 00:00:00,35
2015-10-01 00:00:00,25
2015-11-01 00:00:00,17
2016-01-01 00:00:00,29
2016-03-01 00:00:00,76
2016-04-01 00:00:00,34
2016-08-01 00:00:00,62
2016-09-01 00:00:00,24
2016-10-01 00:00:00,31
2016-11-01 00:00:00,43
2016-12-01 00:00:00,18
2017-02-01 00:00:00,21
2017-03-01 00:00:00,24
2017-04-01 00:00:00,24
2017-06-01 00:00:00,26
2017-08-01 00:00:00,27
2017-09-01 00:00:00,42
2017-10-01 00:00:00,40
2018-01-01 00:00:00,63
2018-02-01 00:00:00,18
2018-03-01 00:00:00,33
2018-04-01 00:00:00,19
2018-05-01 00:00:00,46
2018-09-01 00:00:00,28
2018-10-01 00:00:00,25
2019-05-01 00:00:00,42
2019-07-01 00:00:00,46
2019-08-01 00:00:00,52
2019-09-01 00:00:00,17
2019-11-01 00:00:00,63
2019-12-01 00:00:00,36
2020-01-01 00:00:00,31
2020-02-01 00:00:00,34
2020-05-01 00:00:00,18
2020-06-01 00:00:00,20
2020-09-01 00:00:00,18
2020-10-01 00:00:00,22
2020-12-01 00:00:00,35
2021-03-01 00:00:00,18
2021-08-01 00:00:00,38
2021-10-01 00:00:00,41
2021-12-01 00:00:00,48
2022-02-01 00:00:00,100
2022-03-01 00:00:00,44
2022-04-01 00:00:00,67
2022-05-01 00:00:00,19
2022-06-01 00:00:00,34
2022-08-01 00:00:00,24
2022-09-01 00:00:00,56
2022-10-01 00:00:00,21
2022-12-01 00:00:00,41
