,MVT_GT_Omaha NE
2015-07-01 00:00:00,65
2015-09-01 00:00:00,39
2015-10-01 00:00:00,21
2016-01-01 00:00:00,48
2016-03-01 00:00:00,47
2016-05-01 00:00:00,23
2016-07-01 00:00:00,43
2016-08-01 00:00:00,58
2016-09-01 00:00:00,32
2016-10-01 00:00:00,26
2016-11-01 00:00:00,25
2017-02-01 00:00:00,54
2017-05-01 00:00:00,27
2017-10-01 00:00:00,19
2017-11-01 00:00:00,38
2017-12-01 00:00:00,27
2018-01-01 00:00:00,43
2018-02-01 00:00:00,30
2018-05-01 00:00:00,44
2018-08-01 00:00:00,20
2018-09-01 00:00:00,24
2018-10-01 00:00:00,40
2019-02-01 00:00:00,45
2019-03-01 00:00:00,65
2019-04-01 00:00:00,57
2019-05-01 00:00:00,30
2019-07-01 00:00:00,64
2019-09-01 00:00:00,29
2019-10-01 00:00:00,29
2019-11-01 00:00:00,20
2019-12-01 00:00:00,18
2020-01-01 00:00:00,29
2020-02-01 00:00:00,29
2020-04-01 00:00:00,21
2020-05-01 00:00:00,39
2020-06-01 00:00:00,47
2020-09-01 00:00:00,52
2020-10-01 00:00:00,46
2020-12-01 00:00:00,39
2021-01-01 00:00:00,23
2021-02-01 00:00:00,26
2021-03-01 00:00:00,23
2021-04-01 00:00:00,31
2021-05-01 00:00:00,51
2021-07-01 00:00:00,35
2021-08-01 00:00:00,48
2021-09-01 00:00:00,16
2021-10-01 00:00:00,34
2021-11-01 00:00:00,100
2021-12-01 00:00:00,38
2022-01-01 00:00:00,53
2022-02-01 00:00:00,50
2022-03-01 00:00:00,45
2022-04-01 00:00:00,46
2022-05-01 00:00:00,23
2022-09-01 00:00:00,50
2022-10-01 00:00:00,24
2022-11-01 00:00:00,62
2022-12-01 00:00:00,85
