,MVT_GT_Tucson AZ
2015-02-01 00:00:00,36
2015-08-01 00:00:00,35
2015-09-01 00:00:00,95
2016-01-01 00:00:00,35
2016-03-01 00:00:00,21
2016-05-01 00:00:00,33
2016-09-01 00:00:00,100
2016-10-01 00:00:00,19
2016-12-01 00:00:00,24
2017-01-01 00:00:00,26
2017-07-01 00:00:00,28
2017-08-01 00:00:00,17
2017-10-01 00:00:00,16
2017-11-01 00:00:00,31
2017-12-01 00:00:00,17
2018-01-01 00:00:00,20
2018-02-01 00:00:00,38
2018-04-01 00:00:00,65
2018-05-01 00:00:00,21
2018-10-01 00:00:00,16
2018-11-01 00:00:00,18
2018-12-01 00:00:00,28
2019-02-01 00:00:00,90
2019-04-01 00:00:00,46
2019-05-01 00:00:00,35
2019-10-01 00:00:00,17
2020-01-01 00:00:00,34
2020-02-01 00:00:00,15
2020-05-01 00:00:00,40
2020-06-01 00:00:00,20
2020-08-01 00:00:00,27
2020-09-01 00:00:00,30
2020-10-01 00:00:00,20
2020-11-01 00:00:00,21
2021-02-01 00:00:00,20
2021-03-01 00:00:00,18
2021-05-01 00:00:00,45
2021-08-01 00:00:00,23
2021-09-01 00:00:00,21
2021-12-01 00:00:00,54
2022-02-01 00:00:00,23
2022-03-01 00:00:00,40
2022-04-01 00:00:00,42
2022-06-01 00:00:00,25
2022-07-01 00:00:00,21
2022-08-01 00:00:00,31
2022-09-01 00:00:00,36
2022-10-01 00:00:00,44
2022-11-01 00:00:00,32
