,MVT_GT_Milwaukee WI
2015-01-01 00:00:00,33
2015-02-01 00:00:00,24
2015-03-01 00:00:00,55
2015-04-01 00:00:00,53
2015-06-01 00:00:00,43
2015-08-01 00:00:00,41
2015-10-01 00:00:00,19
2015-11-01 00:00:00,50
2015-12-01 00:00:00,20
2016-01-01 00:00:00,14
2016-02-01 00:00:00,69
2016-03-01 00:00:00,20
2016-04-01 00:00:00,24
2016-05-01 00:00:00,36
2016-06-01 00:00:00,33
2016-08-01 00:00:00,61
2016-09-01 00:00:00,22
2016-10-01 00:00:00,26
2016-11-01 00:00:00,23
2017-01-01 00:00:00,61
2017-02-01 00:00:00,38
2017-03-01 00:00:00,22
2017-05-01 00:00:00,42
2017-06-01 00:00:00,38
2017-07-01 00:00:00,27
2017-08-01 00:00:00,23
2017-09-01 00:00:00,33
2017-10-01 00:00:00,24
2017-11-01 00:00:00,100
2017-12-01 00:00:00,27
2018-01-01 00:00:00,37
2018-03-01 00:00:00,32
2018-05-01 00:00:00,32
2018-06-01 00:00:00,58
2018-07-01 00:00:00,33
2018-08-01 00:00:00,75
2018-09-01 00:00:00,15
2018-10-01 00:00:00,21
2018-11-01 00:00:00,24
2018-12-01 00:00:00,32
2019-01-01 00:00:00,23
2019-02-01 00:00:00,15
2019-03-01 00:00:00,24
2019-04-01 00:00:00,23
2019-05-01 00:00:00,39
2019-07-01 00:00:00,21
2019-08-01 00:00:00,17
2019-09-01 00:00:00,34
2019-10-01 00:00:00,42
2019-12-01 00:00:00,21
2020-01-01 00:00:00,42
2020-02-01 00:00:00,17
2020-04-01 00:00:00,21
2020-05-01 00:00:00,27
2020-06-01 00:00:00,13
2020-07-01 00:00:00,19
2020-08-01 00:00:00,37
2020-09-01 00:00:00,22
2020-10-01 00:00:00,28
2020-11-01 00:00:00,34
2021-01-01 00:00:00,32
2021-02-01 00:00:00,35
2021-03-01 00:00:00,24
2021-04-01 00:00:00,36
2021-05-01 00:00:00,36
2021-06-01 00:00:00,61
2021-07-01 00:00:00,48
2021-08-01 00:00:00,40
2021-09-01 00:00:00,41
2021-10-01 00:00:00,69
2021-11-01 00:00:00,55
2021-12-01 00:00:00,55
2022-01-01 00:00:00,62
2022-02-01 00:00:00,33
2022-03-01 00:00:00,41
2022-04-01 00:00:00,44
2022-05-01 00:00:00,38
2022-06-01 00:00:00,33
2022-07-01 00:00:00,50
2022-08-01 00:00:00,34
2022-09-01 00:00:00,27
2022-10-01 00:00:00,10
2022-11-01 00:00:00,27
2022-12-01 00:00:00,38
