,MVT_GT_Memphis TN
2015-01-01 00:00:00,30
2015-05-01 00:00:00,21
2015-08-01 00:00:00,51
2016-01-01 00:00:00,37
2016-03-01 00:00:00,67
2016-05-01 00:00:00,15
2016-07-01 00:00:00,35
2016-08-01 00:00:00,16
2016-09-01 00:00:00,59
2016-11-01 00:00:00,55
2017-01-01 00:00:00,42
2017-03-01 00:00:00,22
2017-05-01 00:00:00,65
2017-06-01 00:00:00,17
2017-07-01 00:00:00,36
2017-08-01 00:00:00,23
2017-09-01 00:00:00,30
2017-10-01 00:00:00,75
2017-11-01 00:00:00,55
2017-12-01 00:00:00,30
2018-01-01 00:00:00,27
2018-03-01 00:00:00,34
2018-04-01 00:00:00,32
2018-06-01 00:00:00,100
2018-07-01 00:00:00,56
2018-08-01 00:00:00,21
2018-09-01 00:00:00,23
2018-12-01 00:00:00,16
2019-02-01 00:00:00,32
2019-05-01 00:00:00,49
2019-06-01 00:00:00,12
2019-08-01 00:00:00,52
2019-09-01 00:00:00,14
2019-10-01 00:00:00,21
2019-11-01 00:00:00,28
2019-12-01 00:00:00,32
2020-01-01 00:00:00,28
2020-02-01 00:00:00,13
2020-03-01 00:00:00,10
2020-05-01 00:00:00,17
2020-06-01 00:00:00,32
2020-08-01 00:00:00,25
2020-09-01 00:00:00,36
2020-10-01 00:00:00,69
2020-11-01 00:00:00,27
2020-12-01 00:00:00,27
2021-01-01 00:00:00,20
2021-02-01 00:00:00,28
2021-03-01 00:00:00,13
2021-04-01 00:00:00,13
2021-05-01 00:00:00,13
2021-06-01 00:00:00,23
2021-07-01 00:00:00,31
2021-08-01 00:00:00,21
2021-09-01 00:00:00,22
2021-10-01 00:00:00,37
2021-12-01 00:00:00,30
2022-01-01 00:00:00,20
2022-02-01 00:00:00,22
2022-04-01 00:00:00,35
2022-05-01 00:00:00,47
2022-06-01 00:00:00,17
2022-07-01 00:00:00,42
2022-08-01 00:00:00,51
2022-09-01 00:00:00,30
2022-10-01 00:00:00,50
2022-11-01 00:00:00,12
2022-12-01 00:00:00,49
