,MVT_GT_Colorado Springs-Pueblo CO
2015-01-01 00:00:00,40
2015-08-01 00:00:00,81
2016-02-01 00:00:00,50
2016-07-01 00:00:00,44
2016-08-01 00:00:00,43
2016-11-01 00:00:00,26
2017-02-01 00:00:00,46
2017-05-01 00:00:00,34
2017-06-01 00:00:00,26
2017-07-01 00:00:00,43
2017-10-01 00:00:00,81
2017-11-01 00:00:00,67
2017-12-01 00:00:00,100
2018-01-01 00:00:00,53
2018-02-01 00:00:00,83
2018-03-01 00:00:00,38
2018-04-01 00:00:00,43
2018-05-01 00:00:00,46
2018-06-01 00:00:00,61
2018-07-01 00:00:00,30
2018-08-01 00:00:00,74
2018-09-01 00:00:00,98
2018-11-01 00:00:00,72
2018-12-01 00:00:00,25
2019-02-01 00:00:00,27
2019-03-01 00:00:00,39
2019-08-01 00:00:00,32
2019-10-01 00:00:00,44
2019-11-01 00:00:00,42
2020-01-01 00:00:00,31
2020-07-01 00:00:00,42
2020-08-01 00:00:00,62
2020-10-01 00:00:00,26
2020-11-01 00:00:00,19
2020-12-01 00:00:00,27
2021-02-01 00:00:00,33
2021-04-01 00:00:00,24
2021-06-01 00:00:00,43
2021-07-01 00:00:00,68
2021-11-01 00:00:00,35
2021-12-01 00:00:00,34
2022-01-01 00:00:00,69
2022-03-01 00:00:00,56
2022-04-01 00:00:00,28
2022-05-01 00:00:00,47
2022-07-01 00:00:00,58
2022-08-01 00:00:00,27
2022-09-01 00:00:00,49
