,MVT_GT_Memphis TN
2015-01-01 00:00:00,41
2015-04-01 00:00:00,18
2015-07-01 00:00:00,35
2015-08-01 00:00:00,100
2016-01-01 00:00:00,21
2016-04-01 00:00:00,15
2016-05-01 00:00:00,13
2016-07-01 00:00:00,36
2016-09-01 00:00:00,50
2016-11-01 00:00:00,17
2016-12-01 00:00:00,27
2017-01-01 00:00:00,38
2017-02-01 00:00:00,29
2017-04-01 00:00:00,35
2017-05-01 00:00:00,34
2017-06-01 00:00:00,34
2017-07-01 00:00:00,54
2017-10-01 00:00:00,34
2017-11-01 00:00:00,42
2017-12-01 00:00:00,31
2018-01-01 00:00:00,51
2018-02-01 00:00:00,28
2018-03-01 00:00:00,16
2018-04-01 00:00:00,31
2018-05-01 00:00:00,21
2018-06-01 00:00:00,21
2018-07-01 00:00:00,17
2018-08-01 00:00:00,13
2018-09-01 00:00:00,38
2018-10-01 00:00:00,20
2018-11-01 00:00:00,17
2018-12-01 00:00:00,27
2019-02-01 00:00:00,31
2019-05-01 00:00:00,24
2019-06-01 00:00:00,13
2019-07-01 00:00:00,13
2019-09-01 00:00:00,21
2019-10-01 00:00:00,27
2019-11-01 00:00:00,34
2019-12-01 00:00:00,30
2020-01-01 00:00:00,13
2020-03-01 00:00:00,11
2020-04-01 00:00:00,17
2020-05-01 00:00:00,30
2020-06-01 00:00:00,9
2020-07-01 00:00:00,19
2020-08-01 00:00:00,15
2020-09-01 00:00:00,41
2020-10-01 00:00:00,20
2020-11-01 00:00:00,16
2020-12-01 00:00:00,19
2021-01-01 00:00:00,12
2021-02-01 00:00:00,27
2021-07-01 00:00:00,63
2021-08-01 00:00:00,32
2021-09-01 00:00:00,24
2021-10-01 00:00:00,27
2021-11-01 00:00:00,11
2021-12-01 00:00:00,35
2022-01-01 00:00:00,18
2022-02-01 00:00:00,11
2022-03-01 00:00:00,15
2022-04-01 00:00:00,23
2022-05-01 00:00:00,41
2022-06-01 00:00:00,19
2022-07-01 00:00:00,26
2022-08-01 00:00:00,50
2022-09-01 00:00:00,27
2022-10-01 00:00:00,56
2022-11-01 00:00:00,35
