,MVT_GT_Bakersfield CA
2015-03-01 00:00:00,27
2015-05-01 00:00:00,100
2015-09-01 00:00:00,19
2016-01-01 00:00:00,10
2016-03-01 00:00:00,11
2016-06-01 00:00:00,21
2016-07-01 00:00:00,16
2016-08-01 00:00:00,22
2016-10-01 00:00:00,15
2016-12-01 00:00:00,23
2017-03-01 00:00:00,11
2017-04-01 00:00:00,18
2017-06-01 00:00:00,10
2017-07-01 00:00:00,17
2017-08-01 00:00:00,19
2017-09-01 00:00:00,20
2017-10-01 00:00:00,15
2018-03-01 00:00:00,19
2018-05-01 00:00:00,10
2018-06-01 00:00:00,15
2018-07-01 00:00:00,12
2018-09-01 00:00:00,17
2018-11-01 00:00:00,16
2019-02-01 00:00:00,8
2019-06-01 00:00:00,16
2019-08-01 00:00:00,11
2019-10-01 00:00:00,25
2019-11-01 00:00:00,14
2020-01-01 00:00:00,10
2020-02-01 00:00:00,14
2020-03-01 00:00:00,30
2020-04-01 00:00:00,12
2020-05-01 00:00:00,7
2020-07-01 00:00:00,10
2020-09-01 00:00:00,9
2020-11-01 00:00:00,21
2020-12-01 00:00:00,12
2021-01-01 00:00:00,22
2021-02-01 00:00:00,17
2021-03-01 00:00:00,10
2021-05-01 00:00:00,28
2021-06-01 00:00:00,20
2021-07-01 00:00:00,16
2021-08-01 00:00:00,11
2021-11-01 00:00:00,10
2021-12-01 00:00:00,14
2022-02-01 00:00:00,12
2022-04-01 00:00:00,24
2022-05-01 00:00:00,6
2022-07-01 00:00:00,19
2022-10-01 00:00:00,16
2022-11-01 00:00:00,13
2022-12-01 00:00:00,27
