,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,21
2015-02-01 00:00:00,30
2015-03-01 00:00:00,43
2015-04-01 00:00:00,22
2015-05-01 00:00:00,14
2015-07-01 00:00:00,51
2015-09-01 00:00:00,39
2015-10-01 00:00:00,97
2015-11-01 00:00:00,33
2015-12-01 00:00:00,100
2016-02-01 00:00:00,46
2016-05-01 00:00:00,52
2016-07-01 00:00:00,31
2016-08-01 00:00:00,35
2016-10-01 00:00:00,55
2016-11-01 00:00:00,86
2016-12-01 00:00:00,55
2017-01-01 00:00:00,65
2017-07-01 00:00:00,36
2017-08-01 00:00:00,49
2017-09-01 00:00:00,52
2017-10-01 00:00:00,45
2017-11-01 00:00:00,52
2017-12-01 00:00:00,30
2018-01-01 00:00:00,63
2018-02-01 00:00:00,68
2018-03-01 00:00:00,44
2018-04-01 00:00:00,48
2018-05-01 00:00:00,44
2018-06-01 00:00:00,33
2018-07-01 00:00:00,17
2018-08-01 00:00:00,33
2018-09-01 00:00:00,79
2018-11-01 00:00:00,37
2019-01-01 00:00:00,26
2019-02-01 00:00:00,25
2019-04-01 00:00:00,40
2019-05-01 00:00:00,44
2019-06-01 00:00:00,20
2019-07-01 00:00:00,63
2019-08-01 00:00:00,26
2019-10-01 00:00:00,18
2019-11-01 00:00:00,33
2019-12-01 00:00:00,57
2020-01-01 00:00:00,65
2020-03-01 00:00:00,27
2020-04-01 00:00:00,32
2020-05-01 00:00:00,14
2020-06-01 00:00:00,28
2020-08-01 00:00:00,18
2020-09-01 00:00:00,26
2020-11-01 00:00:00,60
2020-12-01 00:00:00,20
2021-01-01 00:00:00,27
2021-02-01 00:00:00,22
2021-03-01 00:00:00,16
2021-04-01 00:00:00,29
2021-07-01 00:00:00,32
2021-08-01 00:00:00,34
2021-09-01 00:00:00,39
2021-10-01 00:00:00,20
2022-02-01 00:00:00,37
2022-03-01 00:00:00,15
2022-04-01 00:00:00,18
2022-05-01 00:00:00,29
2022-06-01 00:00:00,21
2022-07-01 00:00:00,35
2022-09-01 00:00:00,51
2022-10-01 00:00:00,51
2022-11-01 00:00:00,79
2022-12-01 00:00:00,37
