,MVT_GT_El Paso TX
2015-02-01 00:00:00,89
2015-03-01 00:00:00,81
2015-07-01 00:00:00,43
2015-09-01 00:00:00,27
2015-10-01 00:00:00,30
2015-12-01 00:00:00,73
2016-03-01 00:00:00,30
2017-01-01 00:00:00,100
2017-06-01 00:00:00,37
2017-09-01 00:00:00,55
2018-01-01 00:00:00,35
2018-03-01 00:00:00,53
2018-04-01 00:00:00,41
2018-09-01 00:00:00,37
2019-01-01 00:00:00,28
2019-02-01 00:00:00,29
2019-03-01 00:00:00,49
2019-07-01 00:00:00,50
2019-08-01 00:00:00,20
2019-09-01 00:00:00,18
2019-11-01 00:00:00,41
2020-01-01 00:00:00,48
2020-02-01 00:00:00,28
2020-03-01 00:00:00,17
2020-05-01 00:00:00,90
2020-07-01 00:00:00,25
2020-08-01 00:00:00,16
2020-12-01 00:00:00,19
2021-01-01 00:00:00,66
2021-03-01 00:00:00,42
2021-04-01 00:00:00,24
2021-05-01 00:00:00,29
2021-06-01 00:00:00,52
2021-07-01 00:00:00,26
2021-08-01 00:00:00,18
2021-12-01 00:00:00,49
2022-02-01 00:00:00,36
2022-03-01 00:00:00,17
2022-04-01 00:00:00,31
2022-05-01 00:00:00,17
2022-07-01 00:00:00,17
2022-08-01 00:00:00,21
2022-09-01 00:00:00,32
2022-10-01 00:00:00,52
2022-12-01 00:00:00,41
