,MVT_GT_Detroit MI
2015-01-01 00:00:00,44
2015-02-01 00:00:00,66
2015-03-01 00:00:00,36
2015-04-01 00:00:00,46
2015-06-01 00:00:00,23
2015-07-01 00:00:00,21
2015-08-01 00:00:00,49
2015-09-01 00:00:00,39
2015-10-01 00:00:00,34
2015-11-01 00:00:00,20
2015-12-01 00:00:00,58
2016-01-01 00:00:00,40
2016-02-01 00:00:00,16
2016-03-01 00:00:00,28
2016-04-01 00:00:00,22
2016-05-01 00:00:00,34
2016-06-01 00:00:00,28
2016-07-01 00:00:00,38
2016-08-01 00:00:00,100
2016-09-01 00:00:00,55
2016-10-01 00:00:00,26
2016-11-01 00:00:00,36
2016-12-01 00:00:00,25
