,MVT_GT_Tucson AZ
2015-02-01 00:00:00,33
2015-03-01 00:00:00,29
2015-04-01 00:00:00,35
2015-05-01 00:00:00,25
2015-07-01 00:00:00,45
2015-08-01 00:00:00,27
2016-02-01 00:00:00,27
2016-03-01 00:00:00,23
2016-08-01 00:00:00,33
2016-09-01 00:00:00,27
2016-10-01 00:00:00,22
2017-01-01 00:00:00,34
2017-02-01 00:00:00,17
2017-04-01 00:00:00,36
2017-11-01 00:00:00,25
2017-12-01 00:00:00,21
2018-04-01 00:00:00,23
2018-05-01 00:00:00,22
2018-07-01 00:00:00,21
2018-10-01 00:00:00,28
2019-03-01 00:00:00,28
2019-04-01 00:00:00,33
2019-05-01 00:00:00,26
2019-07-01 00:00:00,25
2019-08-01 00:00:00,16
2019-09-01 00:00:00,16
2019-10-01 00:00:00,37
2019-11-01 00:00:00,48
2020-01-01 00:00:00,37
2020-03-01 00:00:00,11
2020-05-01 00:00:00,17
2020-06-01 00:00:00,22
2020-08-01 00:00:00,43
2020-10-01 00:00:00,29
2021-02-01 00:00:00,19
2021-05-01 00:00:00,100
2021-08-01 00:00:00,16
2021-12-01 00:00:00,22
2022-02-01 00:00:00,16
2022-03-01 00:00:00,27
2022-04-01 00:00:00,28
2022-06-01 00:00:00,13
2022-07-01 00:00:00,15
2022-08-01 00:00:00,57
2022-09-01 00:00:00,19
2022-10-01 00:00:00,12
2022-11-01 00:00:00,15
