,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-02-01 00:00:00,60
2015-03-01 00:00:00,56
2015-04-01 00:00:00,62
2015-06-01 00:00:00,28
2015-07-01 00:00:00,31
2015-08-01 00:00:00,65
2015-09-01 00:00:00,59
2015-10-01 00:00:00,26
2016-01-01 00:00:00,75
2016-02-01 00:00:00,36
2016-05-01 00:00:00,36
2016-06-01 00:00:00,36
2016-07-01 00:00:00,43
2016-08-01 00:00:00,83
2016-11-01 00:00:00,23
2016-12-01 00:00:00,30
2017-02-01 00:00:00,25
2017-03-01 00:00:00,40
2017-04-01 00:00:00,87
2017-05-01 00:00:00,20
2017-07-01 00:00:00,38
2017-08-01 00:00:00,35
2017-09-01 00:00:00,15
2017-10-01 00:00:00,35
2017-11-01 00:00:00,23
2017-12-01 00:00:00,30
2018-02-01 00:00:00,57
2018-03-01 00:00:00,75
2018-05-01 00:00:00,23
2018-06-01 00:00:00,44
2018-07-01 00:00:00,30
2018-08-01 00:00:00,53
2018-09-01 00:00:00,47
2018-10-01 00:00:00,94
2018-11-01 00:00:00,49
2018-12-01 00:00:00,47
2019-01-01 00:00:00,34
2019-02-01 00:00:00,27
2019-03-01 00:00:00,13
2019-04-01 00:00:00,20
2019-05-01 00:00:00,21
2019-06-01 00:00:00,21
2019-07-01 00:00:00,50
2019-08-01 00:00:00,61
2019-09-01 00:00:00,40
2019-10-01 00:00:00,29
2019-11-01 00:00:00,53
2019-12-01 00:00:00,68
2020-01-01 00:00:00,59
2020-02-01 00:00:00,62
2020-03-01 00:00:00,14
2020-04-01 00:00:00,33
2020-06-01 00:00:00,45
2020-07-01 00:00:00,58
2020-08-01 00:00:00,25
2020-09-01 00:00:00,54
2020-10-01 00:00:00,49
2020-11-01 00:00:00,34
2020-12-01 00:00:00,58
2021-01-01 00:00:00,56
2021-02-01 00:00:00,38
2021-03-01 00:00:00,81
2021-04-01 00:00:00,77
2021-05-01 00:00:00,13
2021-06-01 00:00:00,40
2021-07-01 00:00:00,44
2021-08-01 00:00:00,31
2021-09-01 00:00:00,22
2021-10-01 00:00:00,55
2021-11-01 00:00:00,30
2021-12-01 00:00:00,58
2022-01-01 00:00:00,28
2022-02-01 00:00:00,67
2022-03-01 00:00:00,22
2022-04-01 00:00:00,73
2022-05-01 00:00:00,31
2022-06-01 00:00:00,55
2022-07-01 00:00:00,58
2022-08-01 00:00:00,79
2022-09-01 00:00:00,44
2022-10-01 00:00:00,43
2022-11-01 00:00:00,53
2022-12-01 00:00:00,100
