,MVT_GT_Tucson AZ
2015-02-01 00:00:00,27
2015-04-01 00:00:00,42
2015-05-01 00:00:00,28
2015-09-01 00:00:00,31
2015-10-01 00:00:00,30
2016-01-01 00:00:00,50
2016-04-01 00:00:00,24
2016-12-01 00:00:00,25
2017-01-01 00:00:00,30
2017-02-01 00:00:00,44
2017-04-01 00:00:00,27
2017-05-01 00:00:00,19
2017-06-01 00:00:00,23
2017-10-01 00:00:00,48
2017-11-01 00:00:00,20
2017-12-01 00:00:00,26
2018-04-01 00:00:00,100
2018-05-01 00:00:00,24
2018-10-01 00:00:00,33
2018-11-01 00:00:00,25
2019-01-01 00:00:00,36
2019-02-01 00:00:00,27
2019-03-01 00:00:00,52
2019-04-01 00:00:00,50
2019-05-01 00:00:00,20
2019-06-01 00:00:00,38
2019-07-01 00:00:00,41
2019-10-01 00:00:00,31
2020-01-01 00:00:00,29
2020-05-01 00:00:00,15
2020-06-01 00:00:00,40
2020-07-01 00:00:00,32
2020-08-01 00:00:00,46
2020-11-01 00:00:00,36
2020-12-01 00:00:00,49
2021-01-01 00:00:00,29
2021-02-01 00:00:00,15
2021-08-01 00:00:00,17
2021-09-01 00:00:00,33
2021-11-01 00:00:00,24
2022-02-01 00:00:00,17
2022-03-01 00:00:00,50
2022-04-01 00:00:00,31
2022-05-01 00:00:00,20
2022-06-01 00:00:00,17
2022-07-01 00:00:00,32
2022-08-01 00:00:00,33
2022-09-01 00:00:00,74
2022-11-01 00:00:00,42
2022-12-01 00:00:00,46
