,MVT_GT_Tulsa OK
2015-04-01 00:00:00,55
2015-05-01 00:00:00,72
2015-12-01 00:00:00,9
2016-01-01 00:00:00,44
2016-03-01 00:00:00,30
2016-07-01 00:00:00,63
2016-08-01 00:00:00,34
2016-10-01 00:00:00,18
2016-11-01 00:00:00,45
2016-12-01 00:00:00,25
2017-01-01 00:00:00,50
2017-07-01 00:00:00,39
2017-08-01 00:00:00,27
2017-10-01 00:00:00,43
2017-11-01 00:00:00,34
2017-12-01 00:00:00,47
2018-01-01 00:00:00,48
2018-02-01 00:00:00,74
2018-03-01 00:00:00,100
2018-04-01 00:00:00,45
2018-05-01 00:00:00,69
2018-06-01 00:00:00,43
2018-07-01 00:00:00,53
2018-08-01 00:00:00,59
2018-09-01 00:00:00,27
2018-10-01 00:00:00,46
2018-11-01 00:00:00,51
2018-12-01 00:00:00,72
2019-01-01 00:00:00,28
2019-02-01 00:00:00,92
2019-04-01 00:00:00,66
2019-07-01 00:00:00,27
2019-08-01 00:00:00,49
2019-09-01 00:00:00,22
2019-10-01 00:00:00,34
2019-11-01 00:00:00,53
2019-12-01 00:00:00,55
2020-01-01 00:00:00,72
2020-02-01 00:00:00,66
2020-03-01 00:00:00,18
2020-04-01 00:00:00,26
2020-07-01 00:00:00,37
2020-08-01 00:00:00,100
2020-09-01 00:00:00,28
2020-11-01 00:00:00,77
2020-12-01 00:00:00,23
2021-01-01 00:00:00,64
2021-03-01 00:00:00,54
2021-04-01 00:00:00,43
2021-05-01 00:00:00,24
2021-06-01 00:00:00,43
2021-07-01 00:00:00,77
2021-08-01 00:00:00,35
2021-09-01 00:00:00,58
2022-01-01 00:00:00,54
2022-02-01 00:00:00,83
2022-04-01 00:00:00,39
2022-05-01 00:00:00,16
2022-06-01 00:00:00,45
2022-07-01 00:00:00,85
2022-08-01 00:00:00,33
2022-10-01 00:00:00,24
