,MVT_GT_Norfolk-Portsmouth-Newport News VA
2015-01-01 00:00:00,31
2015-02-01 00:00:00,68
2015-03-01 00:00:00,41
2015-06-01 00:00:00,40
2015-07-01 00:00:00,22
2015-10-01 00:00:00,20
2015-11-01 00:00:00,45
2015-12-01 00:00:00,30
2016-02-01 00:00:00,46
2016-03-01 00:00:00,76
2016-04-01 00:00:00,50
2016-06-01 00:00:00,42
2016-07-01 00:00:00,35
2016-08-01 00:00:00,29
2016-09-01 00:00:00,35
2016-10-01 00:00:00,38
2016-11-01 00:00:00,25
2016-12-01 00:00:00,24
2017-01-01 00:00:00,34
2017-03-01 00:00:00,16
2017-05-01 00:00:00,48
2017-06-01 00:00:00,19
2017-07-01 00:00:00,85
2017-09-01 00:00:00,27
2017-10-01 00:00:00,33
2017-11-01 00:00:00,29
2017-12-01 00:00:00,54
2018-01-01 00:00:00,34
2018-02-01 00:00:00,25
2018-03-01 00:00:00,41
2018-04-01 00:00:00,27
2018-05-01 00:00:00,31
2018-06-01 00:00:00,62
2018-07-01 00:00:00,47
2018-08-01 00:00:00,20
2018-09-01 00:00:00,16
2018-10-01 00:00:00,49
2018-11-01 00:00:00,34
2019-01-01 00:00:00,39
2019-03-01 00:00:00,29
2019-05-01 00:00:00,63
2019-06-01 00:00:00,39
2019-07-01 00:00:00,16
2019-08-01 00:00:00,56
2019-09-01 00:00:00,15
2019-10-01 00:00:00,40
2019-11-01 00:00:00,23
2019-12-01 00:00:00,41
2020-01-01 00:00:00,45
2020-02-01 00:00:00,14
2020-04-01 00:00:00,15
2020-05-01 00:00:00,15
2020-06-01 00:00:00,45
2020-07-01 00:00:00,26
2020-08-01 00:00:00,57
2020-09-01 00:00:00,12
2020-10-01 00:00:00,31
2020-11-01 00:00:00,22
2020-12-01 00:00:00,16
2021-01-01 00:00:00,47
2021-02-01 00:00:00,100
2021-05-01 00:00:00,64
2021-07-01 00:00:00,47
2021-08-01 00:00:00,50
2021-09-01 00:00:00,22
2021-10-01 00:00:00,18
2021-11-01 00:00:00,34
2021-12-01 00:00:00,61
2022-01-01 00:00:00,95
2022-02-01 00:00:00,24
2022-04-01 00:00:00,13
2022-05-01 00:00:00,46
2022-06-01 00:00:00,76
2022-07-01 00:00:00,67
2022-08-01 00:00:00,81
2022-09-01 00:00:00,44
2022-10-01 00:00:00,52
2022-11-01 00:00:00,53
2022-12-01 00:00:00,62
