,MVT_GT_Tulsa OK
2015-02-01 00:00:00,23
2015-03-01 00:00:00,38
2015-05-01 00:00:00,100
2015-07-01 00:00:00,39
2015-09-01 00:00:00,44
2015-11-01 00:00:00,29
2016-02-01 00:00:00,34
2016-05-01 00:00:00,97
2016-06-01 00:00:00,29
2016-07-01 00:00:00,41
2016-08-01 00:00:00,19
2016-09-01 00:00:00,16
2016-10-01 00:00:00,19
2016-11-01 00:00:00,38
2016-12-01 00:00:00,36
2017-01-01 00:00:00,28
2017-02-01 00:00:00,26
2017-04-01 00:00:00,30
2017-06-01 00:00:00,37
2017-07-01 00:00:00,17
2017-08-01 00:00:00,16
2017-10-01 00:00:00,28
2017-11-01 00:00:00,20
2018-02-01 00:00:00,74
2018-04-01 00:00:00,24
2018-05-01 00:00:00,28
2018-06-01 00:00:00,39
2018-10-01 00:00:00,26
2018-11-01 00:00:00,46
2018-12-01 00:00:00,92
2019-02-01 00:00:00,16
2019-05-01 00:00:00,34
2019-06-01 00:00:00,41
2019-07-01 00:00:00,35
2019-08-01 00:00:00,21
2019-10-01 00:00:00,30
2019-11-01 00:00:00,37
2019-12-01 00:00:00,51
2020-01-01 00:00:00,28
2020-02-01 00:00:00,32
2020-03-01 00:00:00,16
2020-04-01 00:00:00,12
2020-06-01 00:00:00,33
2020-07-01 00:00:00,23
2020-08-01 00:00:00,45
2020-09-01 00:00:00,49
2020-11-01 00:00:00,29
2020-12-01 00:00:00,17
2021-03-01 00:00:00,17
2021-05-01 00:00:00,56
2021-07-01 00:00:00,41
2021-08-01 00:00:00,37
2021-09-01 00:00:00,38
2021-10-01 00:00:00,27
2021-12-01 00:00:00,27
2022-01-01 00:00:00,42
2022-02-01 00:00:00,38
2022-04-01 00:00:00,20
2022-05-01 00:00:00,46
2022-07-01 00:00:00,39
2022-08-01 00:00:00,49
2022-09-01 00:00:00,54
