,MVT_GT_Charlotte NC
2015-01-01 00:00:00,54
2015-02-01 00:00:00,83
2015-03-01 00:00:00,78
2015-04-01 00:00:00,34
2015-05-01 00:00:00,28
2015-06-01 00:00:00,49
2015-08-01 00:00:00,67
2015-09-01 00:00:00,36
2015-10-01 00:00:00,28
2015-11-01 00:00:00,74
2015-12-01 00:00:00,48
2016-01-01 00:00:00,86
2016-03-01 00:00:00,16
2016-04-01 00:00:00,30
2016-05-01 00:00:00,21
2016-06-01 00:00:00,67
2016-07-01 00:00:00,48
2016-08-01 00:00:00,39
2016-09-01 00:00:00,63
2016-10-01 00:00:00,87
2017-03-01 00:00:00,46
2018-04-01 00:00:00,15
2018-07-01 00:00:00,100
2021-01-01 00:00:00,58
2021-06-01 00:00:00,74
2021-07-01 00:00:00,38
2022-10-01 00:00:00,62
