,MVT_GT_Wichita-Hutchinson KS
2015-02-01 00:00:00,40
2015-05-01 00:00:00,100
2015-06-01 00:00:00,71
2015-07-01 00:00:00,60
2016-01-01 00:00:00,64
2016-02-01 00:00:00,63
2016-04-01 00:00:00,33
2016-09-01 00:00:00,60
2016-11-01 00:00:00,52
2016-12-01 00:00:00,31
2017-01-01 00:00:00,60
2017-04-01 00:00:00,52
2017-06-01 00:00:00,28
2017-08-01 00:00:00,32
2017-09-01 00:00:00,60
2017-11-01 00:00:00,56
2017-12-01 00:00:00,44
2018-02-01 00:00:00,75
2018-04-01 00:00:00,29
2018-06-01 00:00:00,36
2018-08-01 00:00:00,56
2018-09-01 00:00:00,40
2018-10-01 00:00:00,47
2018-12-01 00:00:00,87
2019-02-01 00:00:00,48
2019-04-01 00:00:00,48
2019-05-01 00:00:00,45
2019-06-01 00:00:00,45
2019-07-01 00:00:00,62
2019-09-01 00:00:00,30
2019-12-01 00:00:00,27
2020-02-01 00:00:00,38
2020-05-01 00:00:00,75
2020-12-01 00:00:00,62
2021-03-01 00:00:00,57
2021-07-01 00:00:00,30
2021-09-01 00:00:00,78
2021-10-01 00:00:00,40
2021-11-01 00:00:00,31
2021-12-01 00:00:00,36
2022-02-01 00:00:00,42
2022-03-01 00:00:00,22
2022-06-01 00:00:00,60
2022-08-01 00:00:00,49
2022-12-01 00:00:00,85
