,MVT_GT_Wichita-Hutchinson KS
2015-10-01 00:00:00,100
2016-02-01 00:00:00,25
2016-03-01 00:00:00,32
2016-06-01 00:00:00,29
2016-09-01 00:00:00,26
2016-10-01 00:00:00,71
2016-11-01 00:00:00,68
2017-01-01 00:00:00,30
2017-04-01 00:00:00,46
2017-10-01 00:00:00,54
2017-11-01 00:00:00,58
2017-12-01 00:00:00,52
2018-01-01 00:00:00,41
2018-02-01 00:00:00,48
2018-03-01 00:00:00,28
2018-04-01 00:00:00,67
2018-06-01 00:00:00,88
2018-07-01 00:00:00,28
2018-10-01 00:00:00,37
2018-11-01 00:00:00,59
2018-12-01 00:00:00,45
2019-04-01 00:00:00,82
2019-05-01 00:00:00,27
2019-06-01 00:00:00,32
2019-11-01 00:00:00,27
2020-01-01 00:00:00,25
2020-02-01 00:00:00,49
2020-10-01 00:00:00,29
2021-01-01 00:00:00,53
2021-03-01 00:00:00,34
2021-04-01 00:00:00,44
2021-05-01 00:00:00,26
2021-07-01 00:00:00,31
2021-08-01 00:00:00,45
2022-01-01 00:00:00,72
2022-02-01 00:00:00,38
2022-03-01 00:00:00,39
2022-04-01 00:00:00,47
2022-06-01 00:00:00,40
2022-07-01 00:00:00,27
2022-09-01 00:00:00,21
2022-10-01 00:00:00,46
