,MVT_GT_Jacksonville FL
2015-02-01 00:00:00,21
2015-03-01 00:00:00,100
2015-09-01 00:00:00,53
2015-12-01 00:00:00,29
2016-01-01 00:00:00,46
2016-02-01 00:00:00,22
2016-03-01 00:00:00,19
2016-04-01 00:00:00,36
2016-05-01 00:00:00,21
2016-06-01 00:00:00,11
2016-07-01 00:00:00,27
2016-09-01 00:00:00,19
2016-10-01 00:00:00,31
2017-01-01 00:00:00,11
2017-02-01 00:00:00,16
2017-03-01 00:00:00,20
2017-04-01 00:00:00,10
2017-05-01 00:00:00,19
2017-06-01 00:00:00,11
2017-07-01 00:00:00,30
2017-09-01 00:00:00,21
2018-01-01 00:00:00,10
2018-02-01 00:00:00,53
2018-03-01 00:00:00,29
2018-04-01 00:00:00,17
2018-05-01 00:00:00,46
2018-06-01 00:00:00,21
2018-07-01 00:00:00,15
2018-08-01 00:00:00,12
2018-09-01 00:00:00,13
2018-10-01 00:00:00,31
2018-11-01 00:00:00,17
2018-12-01 00:00:00,28
2019-01-01 00:00:00,11
2019-02-01 00:00:00,10
2019-03-01 00:00:00,19
2019-04-01 00:00:00,27
2019-05-01 00:00:00,59
2019-06-01 00:00:00,29
2019-07-01 00:00:00,11
2019-08-01 00:00:00,13
2019-09-01 00:00:00,22
2019-10-01 00:00:00,19
2019-11-01 00:00:00,20
2019-12-01 00:00:00,16
2020-01-01 00:00:00,49
2020-02-01 00:00:00,10
2020-03-01 00:00:00,12
2020-04-01 00:00:00,20
2020-05-01 00:00:00,7
2020-06-01 00:00:00,13
2020-07-01 00:00:00,22
2020-08-01 00:00:00,8
2020-11-01 00:00:00,18
2020-12-01 00:00:00,10
2021-01-01 00:00:00,16
2021-02-01 00:00:00,17
2021-03-01 00:00:00,10
2021-05-01 00:00:00,18
2021-06-01 00:00:00,29
2021-08-01 00:00:00,10
2021-09-01 00:00:00,21
2021-11-01 00:00:00,25
2022-01-01 00:00:00,20
2022-02-01 00:00:00,21
2022-03-01 00:00:00,9
2022-04-01 00:00:00,17
2022-05-01 00:00:00,8
2022-07-01 00:00:00,12
2022-09-01 00:00:00,40
2022-10-01 00:00:00,13
2022-11-01 00:00:00,16
2022-12-01 00:00:00,25
