,MVT_GT_San Antonio TX
2015-01-01 00:00:00,39
2015-02-01 00:00:00,61
2015-05-01 00:00:00,18
2015-07-01 00:00:00,25
2015-08-01 00:00:00,36
2015-09-01 00:00:00,32
2015-11-01 00:00:00,100
2016-01-01 00:00:00,85
2016-05-01 00:00:00,28
2016-06-01 00:00:00,43
2016-07-01 00:00:00,26
2016-08-01 00:00:00,27
2016-09-01 00:00:00,19
2016-10-01 00:00:00,33
2016-12-01 00:00:00,40
2017-02-01 00:00:00,12
2017-04-01 00:00:00,37
2017-05-01 00:00:00,59
2017-06-01 00:00:00,10
2017-09-01 00:00:00,17
2017-10-01 00:00:00,12
2017-11-01 00:00:00,50
2018-02-01 00:00:00,40
2018-04-01 00:00:00,28
2018-06-01 00:00:00,12
2018-07-01 00:00:00,33
2018-08-01 00:00:00,29
2018-11-01 00:00:00,32
2018-12-01 00:00:00,24
2019-01-01 00:00:00,33
2019-02-01 00:00:00,44
2019-03-01 00:00:00,23
2019-04-01 00:00:00,24
2019-05-01 00:00:00,35
2019-07-01 00:00:00,45
2019-08-01 00:00:00,33
2019-09-01 00:00:00,22
2019-10-01 00:00:00,13
2019-11-01 00:00:00,26
2019-12-01 00:00:00,28
2020-01-01 00:00:00,21
2020-02-01 00:00:00,26
2020-03-01 00:00:00,33
2020-04-01 00:00:00,19
2020-05-01 00:00:00,26
2020-06-01 00:00:00,23
2020-07-01 00:00:00,29
2020-08-01 00:00:00,57
2020-09-01 00:00:00,34
2020-10-01 00:00:00,32
2020-11-01 00:00:00,34
2020-12-01 00:00:00,20
2021-01-01 00:00:00,14
2021-02-01 00:00:00,49
2021-03-01 00:00:00,36
2021-04-01 00:00:00,33
2021-06-01 00:00:00,13
2021-07-01 00:00:00,29
2021-08-01 00:00:00,41
2021-09-01 00:00:00,19
2021-10-01 00:00:00,15
2021-11-01 00:00:00,40
2021-12-01 00:00:00,21
2022-01-01 00:00:00,36
2022-02-01 00:00:00,35
2022-03-01 00:00:00,37
2022-04-01 00:00:00,29
2022-05-01 00:00:00,68
2022-06-01 00:00:00,69
2022-07-01 00:00:00,41
2022-08-01 00:00:00,52
2022-09-01 00:00:00,28
2022-10-01 00:00:00,65
2022-12-01 00:00:00,47
