,MVT_GT_Wichita-Hutchinson KS
2015-02-01 00:00:00,100
2015-07-01 00:00:00,32
2015-10-01 00:00:00,31
2016-02-01 00:00:00,22
2016-08-01 00:00:00,24
2016-09-01 00:00:00,30
2016-12-01 00:00:00,30
2017-01-01 00:00:00,31
2017-04-01 00:00:00,21
2017-06-01 00:00:00,37
2017-07-01 00:00:00,29
2017-08-01 00:00:00,25
2017-11-01 00:00:00,35
2018-01-01 00:00:00,20
2018-02-01 00:00:00,27
2018-03-01 00:00:00,53
2018-07-01 00:00:00,80
2018-09-01 00:00:00,29
2018-12-01 00:00:00,26
2019-03-01 00:00:00,22
2019-09-01 00:00:00,13
2020-01-01 00:00:00,35
2020-02-01 00:00:00,18
2020-03-01 00:00:00,13
2020-04-01 00:00:00,19
2020-05-01 00:00:00,25
2020-12-01 00:00:00,69
2021-01-01 00:00:00,15
2021-02-01 00:00:00,17
2021-03-01 00:00:00,34
2021-04-01 00:00:00,12
2021-05-01 00:00:00,12
2021-07-01 00:00:00,45
2021-08-01 00:00:00,21
2021-09-01 00:00:00,61
2021-10-01 00:00:00,31
2021-11-01 00:00:00,22
2021-12-01 00:00:00,24
2022-02-01 00:00:00,37
2022-03-01 00:00:00,37
2022-04-01 00:00:00,19
2022-06-01 00:00:00,32
2022-07-01 00:00:00,21
2022-08-01 00:00:00,19
2022-10-01 00:00:00,16
