,MVT_GT_Fresno-Visalia CA
2015-01-01 00:00:00,26
2015-02-01 00:00:00,39
2015-03-01 00:00:00,31
2015-05-01 00:00:00,27
2015-07-01 00:00:00,49
2015-08-01 00:00:00,56
2015-12-01 00:00:00,58
2016-01-01 00:00:00,53
2016-02-01 00:00:00,43
2016-03-01 00:00:00,30
2016-04-01 00:00:00,56
2016-05-01 00:00:00,43
2016-07-01 00:00:00,43
2016-08-01 00:00:00,100
2016-10-01 00:00:00,77
2016-11-01 00:00:00,26
2016-12-01 00:00:00,48
2017-01-01 00:00:00,69
2017-02-01 00:00:00,37
2017-03-01 00:00:00,35
2017-04-01 00:00:00,37
2017-05-01 00:00:00,30
2017-06-01 00:00:00,34
2017-07-01 00:00:00,61
2017-08-01 00:00:00,34
2017-10-01 00:00:00,34
2017-11-01 00:00:00,26
2017-12-01 00:00:00,41
2018-01-01 00:00:00,41
2018-02-01 00:00:00,24
2018-05-01 00:00:00,28
2018-06-01 00:00:00,51
2018-07-01 00:00:00,72
2018-08-01 00:00:00,41
2018-09-01 00:00:00,49
2018-10-01 00:00:00,54
2018-11-01 00:00:00,17
2018-12-01 00:00:00,24
2019-02-01 00:00:00,18
2019-03-01 00:00:00,44
2019-05-01 00:00:00,21
2019-06-01 00:00:00,39
2019-07-01 00:00:00,40
2019-08-01 00:00:00,38
2019-09-01 00:00:00,20
2019-10-01 00:00:00,39
2019-11-01 00:00:00,37
2019-12-01 00:00:00,17
2020-01-01 00:00:00,22
2020-02-01 00:00:00,47
2020-03-01 00:00:00,57
2020-04-01 00:00:00,26
2020-06-01 00:00:00,51
2020-07-01 00:00:00,24
2020-08-01 00:00:00,34
2020-09-01 00:00:00,54
2020-11-01 00:00:00,36
2020-12-01 00:00:00,47
2021-01-01 00:00:00,48
2021-02-01 00:00:00,21
2021-03-01 00:00:00,18
2021-04-01 00:00:00,25
2021-07-01 00:00:00,50
2021-08-01 00:00:00,71
2021-09-01 00:00:00,51
2021-10-01 00:00:00,15
2021-12-01 00:00:00,49
2022-01-01 00:00:00,45
2022-02-01 00:00:00,34
2022-04-01 00:00:00,51
2022-05-01 00:00:00,46
2022-06-01 00:00:00,27
2022-08-01 00:00:00,29
2022-09-01 00:00:00,16
2022-10-01 00:00:00,48
2022-11-01 00:00:00,49
2022-12-01 00:00:00,23
