,MVT_GT_Norfolk-Portsmouth-Newport News VA
2015-02-01 00:00:00,91
2015-04-01 00:00:00,27
2015-05-01 00:00:00,63
2015-06-01 00:00:00,27
2015-07-01 00:00:00,22
2015-10-01 00:00:00,56
2015-12-01 00:00:00,55
2016-02-01 00:00:00,41
2016-03-01 00:00:00,92
2016-04-01 00:00:00,23
2016-07-01 00:00:00,24
2016-08-01 00:00:00,100
2016-10-01 00:00:00,18
2016-11-01 00:00:00,31
2016-12-01 00:00:00,38
2017-02-01 00:00:00,16
2017-04-01 00:00:00,36
2017-05-01 00:00:00,53
2017-06-01 00:00:00,88
2017-09-01 00:00:00,41
2017-11-01 00:00:00,17
2017-12-01 00:00:00,30
2018-01-01 00:00:00,29
2018-02-01 00:00:00,50
2018-03-01 00:00:00,40
2018-04-01 00:00:00,33
2018-05-01 00:00:00,18
2018-06-01 00:00:00,50
2018-07-01 00:00:00,46
2018-08-01 00:00:00,35
2018-09-01 00:00:00,65
2018-10-01 00:00:00,29
2019-01-01 00:00:00,51
2019-03-01 00:00:00,50
2019-05-01 00:00:00,30
2019-06-01 00:00:00,36
2019-08-01 00:00:00,54
2019-09-01 00:00:00,31
2019-10-01 00:00:00,25
2019-11-01 00:00:00,29
2019-12-01 00:00:00,33
2020-01-01 00:00:00,35
2020-02-01 00:00:00,81
2020-04-01 00:00:00,10
2020-05-01 00:00:00,25
2020-06-01 00:00:00,83
2020-07-01 00:00:00,16
2020-08-01 00:00:00,52
2020-09-01 00:00:00,14
2020-10-01 00:00:00,36
2020-11-01 00:00:00,42
2020-12-01 00:00:00,45
2021-01-01 00:00:00,26
2021-02-01 00:00:00,58
2021-04-01 00:00:00,29
2021-05-01 00:00:00,65
2021-06-01 00:00:00,23
2021-07-01 00:00:00,41
2021-08-01 00:00:00,56
2021-09-01 00:00:00,20
2021-11-01 00:00:00,67
2021-12-01 00:00:00,30
2022-01-01 00:00:00,33
2022-02-01 00:00:00,49
2022-03-01 00:00:00,16
2022-04-01 00:00:00,26
2022-05-01 00:00:00,42
2022-06-01 00:00:00,79
2022-07-01 00:00:00,71
2022-08-01 00:00:00,49
2022-10-01 00:00:00,67
2022-11-01 00:00:00,51
2022-12-01 00:00:00,64
