,MVT_GT_Louisville KY
2015-01-01 00:00:00,60
2015-03-01 00:00:00,40
2015-05-01 00:00:00,72
2015-07-01 00:00:00,90
2015-08-01 00:00:00,61
2015-09-01 00:00:00,51
2016-03-01 00:00:00,90
2016-04-01 00:00:00,37
2016-05-01 00:00:00,40
2016-06-01 00:00:00,25
2016-08-01 00:00:00,66
2016-09-01 00:00:00,48
2016-10-01 00:00:00,82
2016-11-01 00:00:00,76
2016-12-01 00:00:00,39
2017-04-01 00:00:00,44
2017-05-01 00:00:00,39
2017-06-01 00:00:00,32
2017-07-01 00:00:00,40
2017-08-01 00:00:00,41
2017-09-01 00:00:00,100
2017-10-01 00:00:00,38
2017-11-01 00:00:00,52
2018-01-01 00:00:00,52
2018-02-01 00:00:00,21
2018-03-01 00:00:00,17
2018-04-01 00:00:00,49
2018-05-01 00:00:00,28
2018-06-01 00:00:00,26
2018-07-01 00:00:00,31
2018-08-01 00:00:00,38
2018-09-01 00:00:00,53
2018-10-01 00:00:00,42
2018-11-01 00:00:00,32
2018-12-01 00:00:00,57
2019-01-01 00:00:00,25
2019-02-01 00:00:00,67
2019-06-01 00:00:00,47
2019-09-01 00:00:00,44
2019-10-01 00:00:00,29
2019-12-01 00:00:00,63
2020-01-01 00:00:00,29
2020-02-01 00:00:00,53
2020-03-01 00:00:00,65
2020-04-01 00:00:00,53
2020-06-01 00:00:00,85
2020-07-01 00:00:00,27
2020-08-01 00:00:00,47
2020-09-01 00:00:00,57
2020-10-01 00:00:00,70
2020-11-01 00:00:00,54
2020-12-01 00:00:00,26
2021-01-01 00:00:00,94
2021-02-01 00:00:00,75
2021-03-01 00:00:00,52
2021-04-01 00:00:00,52
2021-05-01 00:00:00,39
2021-06-01 00:00:00,39
2021-08-01 00:00:00,55
2021-09-01 00:00:00,42
2021-12-01 00:00:00,79
2022-01-01 00:00:00,77
2022-02-01 00:00:00,45
2022-03-01 00:00:00,47
2022-04-01 00:00:00,39
2022-05-01 00:00:00,30
2022-06-01 00:00:00,47
2022-07-01 00:00:00,62
2022-08-01 00:00:00,52
2022-10-01 00:00:00,50
2022-12-01 00:00:00,44
