,MVT_GT_Bakersfield CA
2015-08-01 00:00:00,70
2015-09-01 00:00:00,85
2016-01-01 00:00:00,70
2016-10-01 00:00:00,53
2017-02-01 00:00:00,50
2017-04-01 00:00:00,77
2017-08-01 00:00:00,73
2017-09-01 00:00:00,63
2017-10-01 00:00:00,49
2017-11-01 00:00:00,37
2018-02-01 00:00:00,54
2018-03-01 00:00:00,33
2018-06-01 00:00:00,52
2018-08-01 00:00:00,23
2018-11-01 00:00:00,62
2019-01-01 00:00:00,86
2019-03-01 00:00:00,78
2019-06-01 00:00:00,93
2019-07-01 00:00:00,66
2019-08-01 00:00:00,73
2019-09-01 00:00:00,100
2019-10-01 00:00:00,23
2019-12-01 00:00:00,31
2020-02-01 00:00:00,43
2020-03-01 00:00:00,26
2020-04-01 00:00:00,23
2020-05-01 00:00:00,26
2020-07-01 00:00:00,24
2020-08-01 00:00:00,28
2020-09-01 00:00:00,19
2021-01-01 00:00:00,78
2021-02-01 00:00:00,85
2021-03-01 00:00:00,19
2021-04-01 00:00:00,52
2021-05-01 00:00:00,38
2021-06-01 00:00:00,59
2021-07-01 00:00:00,44
2021-08-01 00:00:00,42
2021-10-01 00:00:00,26
2021-11-01 00:00:00,38
2021-12-01 00:00:00,78
2022-01-01 00:00:00,38
2022-03-01 00:00:00,18
2022-04-01 00:00:00,44
2022-05-01 00:00:00,17
2022-06-01 00:00:00,19
2022-07-01 00:00:00,36
2022-08-01 00:00:00,28
2022-09-01 00:00:00,54
2022-11-01 00:00:00,48
2022-12-01 00:00:00,69
