,MVT_GT_El Paso TX
2015-10-01 00:00:00,68
2016-04-01 00:00:00,45
2016-06-01 00:00:00,64
2016-10-01 00:00:00,30
2017-01-01 00:00:00,31
2017-03-01 00:00:00,60
2017-04-01 00:00:00,36
2017-06-01 00:00:00,61
2017-08-01 00:00:00,24
2017-11-01 00:00:00,36
2018-02-01 00:00:00,27
2018-03-01 00:00:00,38
2018-08-01 00:00:00,84
2018-09-01 00:00:00,54
2018-10-01 00:00:00,67
2018-11-01 00:00:00,100
2019-01-01 00:00:00,36
2019-03-01 00:00:00,51
2019-06-01 00:00:00,57
2019-07-01 00:00:00,36
2019-08-01 00:00:00,27
2019-09-01 00:00:00,82
2019-12-01 00:00:00,40
2020-03-01 00:00:00,17
2020-05-01 00:00:00,32
2020-06-01 00:00:00,28
2020-07-01 00:00:00,19
2020-09-01 00:00:00,23
2020-11-01 00:00:00,21
2021-01-01 00:00:00,77
2021-03-01 00:00:00,49
2021-05-01 00:00:00,26
2021-06-01 00:00:00,40
2021-07-01 00:00:00,33
2021-08-01 00:00:00,20
2021-11-01 00:00:00,45
2021-12-01 00:00:00,35
2022-01-01 00:00:00,23
2022-03-01 00:00:00,18
2022-04-01 00:00:00,37
2022-05-01 00:00:00,22
2022-08-01 00:00:00,68
2022-09-01 00:00:00,24
2022-12-01 00:00:00,68
