,MVT_GT_Wichita-Hutchinson KS
2015-03-01 00:00:00,78
2015-05-01 00:00:00,35
2015-06-01 00:00:00,39
2015-07-01 00:00:00,40
2015-08-01 00:00:00,50
2015-12-01 00:00:00,29
2016-01-01 00:00:00,75
2016-02-01 00:00:00,20
2016-03-01 00:00:00,49
2016-11-01 00:00:00,97
2016-12-01 00:00:00,43
2017-04-01 00:00:00,65
2017-05-01 00:00:00,29
2017-06-01 00:00:00,31
2017-08-01 00:00:00,44
2017-11-01 00:00:00,46
2018-02-01 00:00:00,80
2018-05-01 00:00:00,58
2018-07-01 00:00:00,24
2018-09-01 00:00:00,58
2019-04-01 00:00:00,30
2019-06-01 00:00:00,31
2019-09-01 00:00:00,22
2019-11-01 00:00:00,41
2020-01-01 00:00:00,22
2020-02-01 00:00:00,73
2020-04-01 00:00:00,25
2020-05-01 00:00:00,37
2020-12-01 00:00:00,33
2021-01-01 00:00:00,86
2021-04-01 00:00:00,41
2021-05-01 00:00:00,100
2021-07-01 00:00:00,24
2021-08-01 00:00:00,49
2021-11-01 00:00:00,23
2022-01-01 00:00:00,91
2022-02-01 00:00:00,22
2022-03-01 00:00:00,28
2022-06-01 00:00:00,21
2022-07-01 00:00:00,34
2022-08-01 00:00:00,36
2022-09-01 00:00:00,37
2022-11-01 00:00:00,52
2022-12-01 00:00:00,66
