,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,11
2015-02-01 00:00:00,22
2015-03-01 00:00:00,35
2015-04-01 00:00:00,18
2015-07-01 00:00:00,55
2015-10-01 00:00:00,30
2016-01-01 00:00:00,25
2016-05-01 00:00:00,57
2016-06-01 00:00:00,26
2016-10-01 00:00:00,62
2016-11-01 00:00:00,42
2017-01-01 00:00:00,40
2017-06-01 00:00:00,42
2017-07-01 00:00:00,40
2017-08-01 00:00:00,59
2017-09-01 00:00:00,37
2017-10-01 00:00:00,34
2017-11-01 00:00:00,45
2017-12-01 00:00:00,31
2018-01-01 00:00:00,71
2018-03-01 00:00:00,100
2018-04-01 00:00:00,43
2018-05-01 00:00:00,16
2018-06-01 00:00:00,43
2018-07-01 00:00:00,29
2018-08-01 00:00:00,62
2018-09-01 00:00:00,36
2018-11-01 00:00:00,36
2019-01-01 00:00:00,55
2019-02-01 00:00:00,37
2019-03-01 00:00:00,33
2019-05-01 00:00:00,43
2019-06-01 00:00:00,22
2019-11-01 00:00:00,28
2019-12-01 00:00:00,50
2020-02-01 00:00:00,47
2020-03-01 00:00:00,59
2020-04-01 00:00:00,22
2020-06-01 00:00:00,40
2020-07-01 00:00:00,70
2020-08-01 00:00:00,49
2020-09-01 00:00:00,16
2020-11-01 00:00:00,55
2020-12-01 00:00:00,25
2021-01-01 00:00:00,37
2021-02-01 00:00:00,76
2021-04-01 00:00:00,17
2021-05-01 00:00:00,20
2021-06-01 00:00:00,89
2021-07-01 00:00:00,31
2021-08-01 00:00:00,28
2021-09-01 00:00:00,36
2022-01-01 00:00:00,37
2022-03-01 00:00:00,44
2022-04-01 00:00:00,17
2022-05-01 00:00:00,21
2022-08-01 00:00:00,62
2022-09-01 00:00:00,15
2022-10-01 00:00:00,26
2022-11-01 00:00:00,62
2022-12-01 00:00:00,32
