,MVT_GT_Tulsa OK
2015-04-01 00:00:00,45
2015-05-01 00:00:00,73
2015-06-01 00:00:00,44
2015-11-01 00:00:00,16
2016-02-01 00:00:00,97
2016-05-01 00:00:00,58
2016-06-01 00:00:00,43
2016-07-01 00:00:00,21
2016-08-01 00:00:00,61
2016-09-01 00:00:00,23
2017-01-01 00:00:00,34
2017-02-01 00:00:00,20
2017-04-01 00:00:00,50
2017-06-01 00:00:00,16
2017-09-01 00:00:00,33
2017-10-01 00:00:00,26
2017-11-01 00:00:00,24
2017-12-01 00:00:00,21
2018-02-01 00:00:00,52
2018-03-01 00:00:00,39
2018-05-01 00:00:00,41
2018-06-01 00:00:00,45
2018-08-01 00:00:00,47
2018-09-01 00:00:00,24
2018-10-01 00:00:00,63
2018-11-01 00:00:00,25
2018-12-01 00:00:00,28
2019-01-01 00:00:00,76
2019-02-01 00:00:00,70
2019-03-01 00:00:00,23
2019-04-01 00:00:00,20
2019-05-01 00:00:00,59
2019-06-01 00:00:00,68
2019-08-01 00:00:00,68
2019-09-01 00:00:00,29
2019-10-01 00:00:00,71
2019-11-01 00:00:00,24
2019-12-01 00:00:00,72
2020-01-01 00:00:00,20
2020-02-01 00:00:00,57
2020-03-01 00:00:00,57
2020-04-01 00:00:00,16
2020-06-01 00:00:00,25
2020-08-01 00:00:00,100
2020-09-01 00:00:00,61
2020-10-01 00:00:00,21
2020-11-01 00:00:00,49
2020-12-01 00:00:00,27
2021-01-01 00:00:00,75
2021-04-01 00:00:00,52
2021-05-01 00:00:00,27
2021-07-01 00:00:00,44
2021-08-01 00:00:00,34
2021-09-01 00:00:00,45
2021-12-01 00:00:00,88
2022-01-01 00:00:00,19
2022-02-01 00:00:00,53
2022-03-01 00:00:00,35
2022-04-01 00:00:00,26
2022-05-01 00:00:00,60
2022-06-01 00:00:00,47
2022-07-01 00:00:00,35
2022-08-01 00:00:00,45
2022-09-01 00:00:00,59
2022-10-01 00:00:00,19
2022-11-01 00:00:00,31
2022-12-01 00:00:00,16
