,MVT_GT_Baltimore MD
2015-01-01 00:00:00,40
2015-02-01 00:00:00,37
2015-03-01 00:00:00,45
2015-05-01 00:00:00,74
2015-06-01 00:00:00,19
2015-08-01 00:00:00,23
2015-10-01 00:00:00,25
2015-11-01 00:00:00,26
2015-12-01 00:00:00,100
2016-01-01 00:00:00,26
2016-02-01 00:00:00,44
2016-03-01 00:00:00,73
2016-04-01 00:00:00,47
2016-05-01 00:00:00,80
2016-06-01 00:00:00,44
2016-07-01 00:00:00,65
2016-08-01 00:00:00,40
2016-09-01 00:00:00,58
2016-10-01 00:00:00,29
2016-11-01 00:00:00,46
2017-01-01 00:00:00,48
2017-02-01 00:00:00,26
2017-03-01 00:00:00,50
2017-04-01 00:00:00,50
2017-05-01 00:00:00,57
2017-06-01 00:00:00,73
2017-07-01 00:00:00,19
2017-08-01 00:00:00,16
2017-09-01 00:00:00,41
2017-10-01 00:00:00,43
2017-11-01 00:00:00,12
2017-12-01 00:00:00,23
2018-01-01 00:00:00,52
2018-02-01 00:00:00,22
2018-03-01 00:00:00,66
2018-04-01 00:00:00,23
2018-06-01 00:00:00,32
2018-07-01 00:00:00,23
2018-08-01 00:00:00,32
2018-09-01 00:00:00,34
2018-11-01 00:00:00,27
2018-12-01 00:00:00,89
2019-01-01 00:00:00,43
2019-03-01 00:00:00,23
2019-04-01 00:00:00,20
2019-06-01 00:00:00,59
2019-07-01 00:00:00,29
2019-08-01 00:00:00,27
2019-09-01 00:00:00,40
2019-10-01 00:00:00,14
2019-11-01 00:00:00,25
2019-12-01 00:00:00,26
2020-01-01 00:00:00,60
2020-02-01 00:00:00,37
2020-03-01 00:00:00,23
2020-04-01 00:00:00,29
2020-05-01 00:00:00,23
2020-06-01 00:00:00,35
2020-07-01 00:00:00,25
2020-08-01 00:00:00,39
2020-10-01 00:00:00,40
2020-11-01 00:00:00,9
2020-12-01 00:00:00,27
2021-01-01 00:00:00,26
2021-02-01 00:00:00,24
2021-03-01 00:00:00,14
2021-04-01 00:00:00,24
2021-05-01 00:00:00,34
2021-06-01 00:00:00,49
2021-07-01 00:00:00,36
2021-08-01 00:00:00,31
2021-09-01 00:00:00,50
2021-10-01 00:00:00,38
2021-11-01 00:00:00,21
2021-12-01 00:00:00,20
2022-01-01 00:00:00,48
2022-02-01 00:00:00,34
2022-03-01 00:00:00,59
2022-04-01 00:00:00,28
2022-05-01 00:00:00,48
2022-06-01 00:00:00,37
2022-07-01 00:00:00,35
2022-08-01 00:00:00,27
2022-09-01 00:00:00,48
2022-10-01 00:00:00,38
2022-11-01 00:00:00,84
2022-12-01 00:00:00,62
