,MVT_GT_Tulsa OK
2015-02-01 00:00:00,39
2015-04-01 00:00:00,20
2015-05-01 00:00:00,71
2015-11-01 00:00:00,19
2015-12-01 00:00:00,9
2016-03-01 00:00:00,24
2016-04-01 00:00:00,19
2016-06-01 00:00:00,27
2016-07-01 00:00:00,32
2016-08-01 00:00:00,27
2016-10-01 00:00:00,22
2016-11-01 00:00:00,21
2016-12-01 00:00:00,17
2017-01-01 00:00:00,27
2017-02-01 00:00:00,24
2017-04-01 00:00:00,30
2017-06-01 00:00:00,18
2017-08-01 00:00:00,15
2017-09-01 00:00:00,8
2017-10-01 00:00:00,26
2017-11-01 00:00:00,11
2018-01-01 00:00:00,46
2018-02-01 00:00:00,100
2018-04-01 00:00:00,62
2018-05-01 00:00:00,49
2018-06-01 00:00:00,47
2018-09-01 00:00:00,35
2018-10-01 00:00:00,67
2018-11-01 00:00:00,24
2018-12-01 00:00:00,44
2019-01-01 00:00:00,19
2019-02-01 00:00:00,38
2019-04-01 00:00:00,44
2019-05-01 00:00:00,22
2019-07-01 00:00:00,30
2019-08-01 00:00:00,33
2019-09-01 00:00:00,22
2019-12-01 00:00:00,27
2020-01-01 00:00:00,11
2020-02-01 00:00:00,43
2020-05-01 00:00:00,14
2020-06-01 00:00:00,42
2020-07-01 00:00:00,19
2020-08-01 00:00:00,40
2020-09-01 00:00:00,24
2020-10-01 00:00:00,24
2020-11-01 00:00:00,37
2020-12-01 00:00:00,17
2021-01-01 00:00:00,51
2021-02-01 00:00:00,28
2021-03-01 00:00:00,39
2021-07-01 00:00:00,43
2021-08-01 00:00:00,55
2021-09-01 00:00:00,29
2021-10-01 00:00:00,26
2022-01-01 00:00:00,25
2022-02-01 00:00:00,25
2022-04-01 00:00:00,21
2022-05-01 00:00:00,45
2022-06-01 00:00:00,19
2022-07-01 00:00:00,24
2022-09-01 00:00:00,34
2022-10-01 00:00:00,28
