,MVT_GT_New Orleans LA
04/01/2015 00:00:00,67
03/01/2016 00:00:00,53
04/01/2016 00:00:00,60
08/01/2016 00:00:00,73
04/01/2017 00:00:00,45
06/01/2017 00:00:00,77
11/01/2017 00:00:00,56
12/01/2017 00:00:00,52
02/01/2018 00:00:00,54
04/01/2018 00:00:00,50
07/01/2018 00:00:00,59
08/01/2018 00:00:00,47
11/01/2018 00:00:00,64
12/01/2018 00:00:00,73
01/01/2019 00:00:00,61
05/01/2019 00:00:00,66
06/01/2019 00:00:00,80
07/01/2019 00:00:00,78
12/01/2019 00:00:00,41
01/01/2020 00:00:00,97
02/01/2020 00:00:00,41
03/01/2020 00:00:00,46
04/01/2020 00:00:00,56
05/01/2020 00:00:00,43
06/01/2020 00:00:00,37
08/01/2020 00:00:00,50
09/01/2020 00:00:00,70
10/01/2020 00:00:00,61
11/01/2020 00:00:00,49
12/01/2020 00:00:00,40
02/01/2021 00:00:00,65
05/01/2021 00:00:00,39
11/01/2021 00:00:00,50
12/01/2021 00:00:00,60
01/01/2022 00:00:00,84
02/01/2022 00:00:00,75
03/01/2022 00:00:00,44
04/01/2022 00:00:00,84
05/01/2022 00:00:00,75
07/01/2022 00:00:00,88
08/01/2022 00:00:00,56
09/01/2022 00:00:00,62
11/01/2022 00:00:00,100
12/01/2022 00:00:00,83
