,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,57
05/01/2015 00:00:00,82
09/01/2015 00:00:00,51
10/01/2015 00:00:00,70
01/01/2016 00:00:00,45
03/01/2016 00:00:00,76
06/01/2016 00:00:00,70
08/01/2016 00:00:00,46
10/01/2016 00:00:00,37
11/01/2016 00:00:00,90
01/01/2017 00:00:00,68
02/01/2017 00:00:00,38
03/01/2017 00:00:00,55
05/01/2017 00:00:00,37
06/01/2017 00:00:00,83
07/01/2017 00:00:00,41
09/01/2017 00:00:00,44
11/01/2017 00:00:00,35
12/01/2017 00:00:00,81
02/01/2018 00:00:00,45
03/01/2018 00:00:00,32
05/01/2018 00:00:00,40
07/01/2018 00:00:00,39
08/01/2018 00:00:00,69
09/01/2018 00:00:00,58
12/01/2018 00:00:00,49
02/01/2019 00:00:00,48
05/01/2019 00:00:00,66
07/01/2019 00:00:00,46
08/01/2019 00:00:00,70
09/01/2019 00:00:00,55
12/01/2019 00:00:00,51
01/01/2020 00:00:00,64
02/01/2020 00:00:00,41
03/01/2020 00:00:00,49
04/01/2020 00:00:00,40
05/01/2020 00:00:00,34
07/01/2020 00:00:00,36
08/01/2020 00:00:00,66
09/01/2020 00:00:00,33
10/01/2020 00:00:00,33
11/01/2020 00:00:00,82
12/01/2020 00:00:00,47
01/01/2021 00:00:00,45
02/01/2021 00:00:00,37
03/01/2021 00:00:00,50
06/01/2021 00:00:00,58
07/01/2021 00:00:00,54
09/01/2021 00:00:00,43
10/01/2021 00:00:00,80
11/01/2021 00:00:00,44
12/01/2021 00:00:00,56
01/01/2022 00:00:00,98
03/01/2022 00:00:00,100
04/01/2022 00:00:00,41
07/01/2022 00:00:00,69
08/01/2022 00:00:00,80
09/01/2022 00:00:00,82
10/01/2022 00:00:00,81
11/01/2022 00:00:00,32
12/01/2022 00:00:00,98
