,MVT_GT_Norfolk-Portsmouth-Newport News VA
2015-02-01 00:00:00,91
2015-03-01 00:00:00,28
2015-05-01 00:00:00,86
2015-07-01 00:00:00,35
2015-09-01 00:00:00,38
2015-11-01 00:00:00,46
2015-12-01 00:00:00,72
2016-02-01 00:00:00,39
2016-04-01 00:00:00,59
2016-05-01 00:00:00,100
2016-06-01 00:00:00,31
2016-08-01 00:00:00,30
2016-12-01 00:00:00,52
2017-02-01 00:00:00,22
2017-03-01 00:00:00,41
2017-04-01 00:00:00,37
2017-05-01 00:00:00,36
2017-07-01 00:00:00,39
2017-08-01 00:00:00,39
2017-09-01 00:00:00,17
2017-10-01 00:00:00,32
2017-11-01 00:00:00,30
2017-12-01 00:00:00,28
2018-02-01 00:00:00,43
2018-03-01 00:00:00,32
2018-04-01 00:00:00,25
2018-05-01 00:00:00,33
2018-06-01 00:00:00,51
2018-07-01 00:00:00,65
2018-10-01 00:00:00,43
2019-01-01 00:00:00,34
2019-05-01 00:00:00,20
2019-06-01 00:00:00,62
2019-07-01 00:00:00,52
2019-08-01 00:00:00,54
2019-09-01 00:00:00,92
2019-10-01 00:00:00,47
2019-11-01 00:00:00,42
2019-12-01 00:00:00,32
2020-01-01 00:00:00,42
2020-02-01 00:00:00,31
2020-03-01 00:00:00,51
2020-04-01 00:00:00,19
2020-05-01 00:00:00,25
2020-06-01 00:00:00,12
2020-07-01 00:00:00,24
2020-08-01 00:00:00,44
2020-09-01 00:00:00,16
2020-10-01 00:00:00,40
2020-11-01 00:00:00,18
2020-12-01 00:00:00,52
2021-01-01 00:00:00,51
2021-02-01 00:00:00,57
2021-03-01 00:00:00,19
2021-04-01 00:00:00,19
2021-05-01 00:00:00,48
2021-06-01 00:00:00,57
2021-07-01 00:00:00,69
2021-08-01 00:00:00,48
2021-09-01 00:00:00,30
2021-10-01 00:00:00,17
2021-11-01 00:00:00,85
2021-12-01 00:00:00,66
2022-01-01 00:00:00,52
2022-03-01 00:00:00,15
2022-04-01 00:00:00,43
2022-05-01 00:00:00,49
2022-06-01 00:00:00,75
2022-07-01 00:00:00,80
2022-08-01 00:00:00,66
2022-10-01 00:00:00,61
2022-11-01 00:00:00,83
2022-12-01 00:00:00,66
