,MVT_GT_New Orleans LA
01/01/2016 00:00:00,68
03/01/2016 00:00:00,60
08/01/2016 00:00:00,100
12/01/2016 00:00:00,61
01/01/2017 00:00:00,44
02/01/2017 00:00:00,49
03/01/2017 00:00:00,54
09/01/2017 00:00:00,67
10/01/2017 00:00:00,60
12/01/2017 00:00:00,46
01/01/2018 00:00:00,78
02/01/2018 00:00:00,57
03/01/2018 00:00:00,65
08/01/2018 00:00:00,51
09/01/2018 00:00:00,55
11/01/2018 00:00:00,61
12/01/2018 00:00:00,89
05/01/2019 00:00:00,71
06/01/2019 00:00:00,59
07/01/2019 00:00:00,84
09/01/2019 00:00:00,47
11/01/2019 00:00:00,59
12/01/2019 00:00:00,68
01/01/2020 00:00:00,57
02/01/2020 00:00:00,50
03/01/2020 00:00:00,35
04/01/2020 00:00:00,79
05/01/2020 00:00:00,42
06/01/2020 00:00:00,56
07/01/2020 00:00:00,48
08/01/2020 00:00:00,61
09/01/2020 00:00:00,56
11/01/2020 00:00:00,41
01/01/2021 00:00:00,60
04/01/2021 00:00:00,94
05/01/2021 00:00:00,67
12/01/2021 00:00:00,44
01/01/2022 00:00:00,89
02/01/2022 00:00:00,95
03/01/2022 00:00:00,83
04/01/2022 00:00:00,43
05/01/2022 00:00:00,51
07/01/2022 00:00:00,84
08/01/2022 00:00:00,67
09/01/2022 00:00:00,59
11/01/2022 00:00:00,75
12/01/2022 00:00:00,55
