,MVT_GT_El Paso TX
2015-07-01 00:00:00,33
2016-03-01 00:00:00,27
2016-06-01 00:00:00,57
2017-06-01 00:00:00,23
2017-07-01 00:00:00,23
2017-09-01 00:00:00,47
2017-11-01 00:00:00,23
2018-01-01 00:00:00,42
2018-02-01 00:00:00,92
2018-03-01 00:00:00,40
2018-05-01 00:00:00,36
2018-08-01 00:00:00,46
2018-09-01 00:00:00,31
2018-10-01 00:00:00,29
2019-08-01 00:00:00,42
2019-09-01 00:00:00,63
2020-01-01 00:00:00,23
2020-02-01 00:00:00,47
2020-05-01 00:00:00,43
2020-06-01 00:00:00,42
2020-08-01 00:00:00,20
2020-09-01 00:00:00,20
2020-12-01 00:00:00,22
2021-02-01 00:00:00,74
2021-03-01 00:00:00,29
2021-05-01 00:00:00,64
2021-06-01 00:00:00,37
2021-08-01 00:00:00,82
2021-11-01 00:00:00,61
2021-12-01 00:00:00,100
2022-01-01 00:00:00,23
2022-03-01 00:00:00,16
2022-04-01 00:00:00,39
2022-05-01 00:00:00,26
2022-09-01 00:00:00,21
2022-10-01 00:00:00,17
2022-12-01 00:00:00,53
