,MVT_GT_New Orleans LA
10/01/2015 00:00:00,63
03/01/2016 00:00:00,64
05/01/2016 00:00:00,62
06/01/2016 00:00:00,38
07/01/2016 00:00:00,52
08/01/2016 00:00:00,70
02/01/2017 00:00:00,63
05/01/2017 00:00:00,46
06/01/2017 00:00:00,54
07/01/2017 00:00:00,51
09/01/2017 00:00:00,41
10/01/2017 00:00:00,46
11/01/2017 00:00:00,44
12/01/2017 00:00:00,45
01/01/2018 00:00:00,34
02/01/2018 00:00:00,46
04/01/2018 00:00:00,34
08/01/2018 00:00:00,41
09/01/2018 00:00:00,36
10/01/2018 00:00:00,38
11/01/2018 00:00:00,55
12/01/2018 00:00:00,63
06/01/2019 00:00:00,51
07/01/2019 00:00:00,39
11/01/2019 00:00:00,47
12/01/2019 00:00:00,47
01/01/2020 00:00:00,100
02/01/2020 00:00:00,37
04/01/2020 00:00:00,53
05/01/2020 00:00:00,29
08/01/2020 00:00:00,44
09/01/2020 00:00:00,44
10/01/2020 00:00:00,40
11/01/2020 00:00:00,32
12/01/2020 00:00:00,38
01/01/2021 00:00:00,32
04/01/2021 00:00:00,37
05/01/2021 00:00:00,31
06/01/2021 00:00:00,40
12/01/2021 00:00:00,44
01/01/2022 00:00:00,48
02/01/2022 00:00:00,64
03/01/2022 00:00:00,39
04/01/2022 00:00:00,65
05/01/2022 00:00:00,35
07/01/2022 00:00:00,59
08/01/2022 00:00:00,47
09/01/2022 00:00:00,36
10/01/2022 00:00:00,51
12/01/2022 00:00:00,54
