,MVT_GT_Louisville KY
2015-02-01 00:00:00,33
2015-03-01 00:00:00,56
2015-05-01 00:00:00,56
2015-06-01 00:00:00,56
2015-07-01 00:00:00,35
2016-01-01 00:00:00,62
2016-04-01 00:00:00,52
2016-05-01 00:00:00,32
2016-06-01 00:00:00,43
2016-07-01 00:00:00,23
2016-08-01 00:00:00,35
2016-10-01 00:00:00,66
2016-11-01 00:00:00,51
2016-12-01 00:00:00,46
2017-01-01 00:00:00,28
2017-02-01 00:00:00,42
2017-03-01 00:00:00,38
2017-06-01 00:00:00,36
2017-07-01 00:00:00,23
2017-08-01 00:00:00,49
2017-10-01 00:00:00,32
2017-11-01 00:00:00,37
2018-01-01 00:00:00,33
2018-02-01 00:00:00,17
2018-04-01 00:00:00,38
2018-05-01 00:00:00,33
2018-06-01 00:00:00,24
2018-07-01 00:00:00,86
2018-08-01 00:00:00,28
2018-09-01 00:00:00,46
2018-11-01 00:00:00,51
2018-12-01 00:00:00,20
2019-01-01 00:00:00,52
2019-02-01 00:00:00,52
2019-04-01 00:00:00,22
2019-06-01 00:00:00,62
2019-07-01 00:00:00,57
2019-08-01 00:00:00,46
2019-10-01 00:00:00,22
2019-12-01 00:00:00,25
2020-01-01 00:00:00,36
2020-02-01 00:00:00,22
2020-03-01 00:00:00,52
2020-04-01 00:00:00,22
2020-05-01 00:00:00,33
2020-06-01 00:00:00,40
2020-07-01 00:00:00,23
2020-09-01 00:00:00,31
2020-10-01 00:00:00,73
2020-11-01 00:00:00,91
2020-12-01 00:00:00,46
2021-01-01 00:00:00,74
2021-03-01 00:00:00,79
2021-04-01 00:00:00,36
2021-05-01 00:00:00,19
2021-06-01 00:00:00,19
2021-07-01 00:00:00,63
2021-08-01 00:00:00,27
2021-09-01 00:00:00,41
2021-10-01 00:00:00,100
2021-11-01 00:00:00,18
2021-12-01 00:00:00,87
2022-01-01 00:00:00,63
2022-03-01 00:00:00,30
2022-04-01 00:00:00,34
2022-05-01 00:00:00,33
2022-07-01 00:00:00,40
2022-08-01 00:00:00,56
2022-09-01 00:00:00,52
2022-10-01 00:00:00,55
2022-11-01 00:00:00,36
