,MVT_GT_Columbus OH
2015-01-01 00:00:00,36
2015-02-01 00:00:00,47
2015-04-01 00:00:00,19
2015-05-01 00:00:00,38
2015-07-01 00:00:00,20
2015-10-01 00:00:00,39
2015-11-01 00:00:00,20
2016-01-01 00:00:00,38
2016-02-01 00:00:00,41
2016-03-01 00:00:00,45
2016-04-01 00:00:00,33
2016-05-01 00:00:00,25
2016-06-01 00:00:00,36
2016-07-01 00:00:00,37
2016-08-01 00:00:00,29
2016-09-01 00:00:00,45
2016-10-01 00:00:00,28
2016-11-01 00:00:00,14
2016-12-01 00:00:00,42
2017-02-01 00:00:00,12
2017-03-01 00:00:00,46
2017-04-01 00:00:00,22
2017-06-01 00:00:00,69
2017-08-01 00:00:00,30
2017-09-01 00:00:00,14
2017-10-01 00:00:00,12
2017-11-01 00:00:00,25
2017-12-01 00:00:00,26
2018-01-01 00:00:00,41
2018-02-01 00:00:00,17
2018-04-01 00:00:00,14
2018-05-01 00:00:00,13
2018-06-01 00:00:00,30
2018-07-01 00:00:00,44
2018-08-01 00:00:00,42
2018-10-01 00:00:00,12
2018-11-01 00:00:00,51
2018-12-01 00:00:00,39
2019-01-01 00:00:00,43
2019-02-01 00:00:00,22
2019-04-01 00:00:00,19
2019-05-01 00:00:00,52
2019-06-01 00:00:00,36
2019-07-01 00:00:00,32
2019-08-01 00:00:00,53
2019-09-01 00:00:00,35
2019-10-01 00:00:00,21
2019-12-01 00:00:00,31
2020-01-01 00:00:00,46
2020-02-01 00:00:00,40
2020-04-01 00:00:00,18
2020-06-01 00:00:00,37
2020-07-01 00:00:00,36
2020-08-01 00:00:00,25
2020-09-01 00:00:00,44
2020-10-01 00:00:00,29
2020-11-01 00:00:00,17
2020-12-01 00:00:00,44
2021-01-01 00:00:00,30
2021-02-01 00:00:00,27
2021-03-01 00:00:00,44
2021-05-01 00:00:00,13
2021-06-01 00:00:00,37
2021-07-01 00:00:00,86
2021-08-01 00:00:00,51
2021-10-01 00:00:00,36
2021-12-01 00:00:00,54
2022-01-01 00:00:00,68
2022-02-01 00:00:00,92
2022-03-01 00:00:00,63
2022-04-01 00:00:00,38
2022-05-01 00:00:00,52
2022-06-01 00:00:00,72
2022-07-01 00:00:00,91
2022-08-01 00:00:00,53
2022-09-01 00:00:00,58
2022-10-01 00:00:00,54
2022-11-01 00:00:00,59
2022-12-01 00:00:00,100
