,MVT_GT_Cincinnati OH
05/01/2015 00:00:00,56
03/01/2016 00:00:00,62
05/01/2016 00:00:00,42
07/01/2016 00:00:00,52
08/01/2016 00:00:00,57
10/01/2016 00:00:00,57
11/01/2016 00:00:00,60
02/01/2017 00:00:00,41
03/01/2017 00:00:00,37
06/01/2017 00:00:00,59
08/01/2017 00:00:00,76
12/01/2017 00:00:00,55
03/01/2018 00:00:00,53
07/01/2018 00:00:00,37
08/01/2018 00:00:00,52
09/01/2018 00:00:00,33
10/01/2018 00:00:00,32
11/01/2018 00:00:00,56
12/01/2018 00:00:00,34
01/01/2019 00:00:00,29
02/01/2019 00:00:00,62
03/01/2019 00:00:00,47
04/01/2019 00:00:00,36
06/01/2019 00:00:00,35
07/01/2019 00:00:00,39
08/01/2019 00:00:00,63
09/01/2019 00:00:00,40
10/01/2019 00:00:00,38
01/01/2020 00:00:00,45
02/01/2020 00:00:00,44
03/01/2020 00:00:00,48
05/01/2020 00:00:00,30
08/01/2020 00:00:00,65
09/01/2020 00:00:00,30
12/01/2020 00:00:00,40
02/01/2021 00:00:00,45
03/01/2021 00:00:00,38
05/01/2021 00:00:00,31
06/01/2021 00:00:00,47
07/01/2021 00:00:00,41
08/01/2021 00:00:00,36
10/01/2021 00:00:00,86
11/01/2021 00:00:00,35
12/01/2021 00:00:00,40
01/01/2022 00:00:00,54
03/01/2022 00:00:00,53
04/01/2022 00:00:00,55
06/01/2022 00:00:00,38
07/01/2022 00:00:00,62
08/01/2022 00:00:00,85
09/01/2022 00:00:00,83
10/01/2022 00:00:00,100
11/01/2022 00:00:00,32
12/01/2022 00:00:00,87
