,MVT_GT_New Orleans LA
01/01/2015 00:00:00,53
04/01/2015 00:00:00,100
05/01/2016 00:00:00,49
10/01/2016 00:00:00,57
01/01/2017 00:00:00,42
02/01/2017 00:00:00,47
03/01/2017 00:00:00,46
05/01/2017 00:00:00,54
06/01/2017 00:00:00,72
07/01/2017 00:00:00,66
09/01/2017 00:00:00,54
10/01/2017 00:00:00,42
12/01/2017 00:00:00,51
02/01/2018 00:00:00,46
03/01/2018 00:00:00,54
08/01/2018 00:00:00,48
09/01/2018 00:00:00,60
11/01/2018 00:00:00,54
12/01/2018 00:00:00,61
01/01/2019 00:00:00,40
02/01/2019 00:00:00,59
05/01/2019 00:00:00,43
06/01/2019 00:00:00,63
07/01/2019 00:00:00,63
12/01/2019 00:00:00,62
01/01/2020 00:00:00,72
03/01/2020 00:00:00,33
04/01/2020 00:00:00,68
08/01/2020 00:00:00,46
10/01/2020 00:00:00,47
01/01/2021 00:00:00,40
03/01/2021 00:00:00,44
04/01/2021 00:00:00,39
12/01/2021 00:00:00,48
02/01/2022 00:00:00,55
03/01/2022 00:00:00,43
04/01/2022 00:00:00,83
07/01/2022 00:00:00,73
08/01/2022 00:00:00,41
09/01/2022 00:00:00,40
11/01/2022 00:00:00,49
12/01/2022 00:00:00,71
