,MVT_GT_New Orleans LA
09/01/2015 00:00:00,100
12/01/2015 00:00:00,68
04/01/2016 00:00:00,49
12/01/2016 00:00:00,36
01/01/2017 00:00:00,66
02/01/2017 00:00:00,42
04/01/2017 00:00:00,38
06/01/2017 00:00:00,51
08/01/2017 00:00:00,54
09/01/2017 00:00:00,37
10/01/2017 00:00:00,57
12/01/2017 00:00:00,51
02/01/2018 00:00:00,59
08/01/2018 00:00:00,51
09/01/2018 00:00:00,56
11/01/2018 00:00:00,76
12/01/2018 00:00:00,55
05/01/2019 00:00:00,36
06/01/2019 00:00:00,36
07/01/2019 00:00:00,47
11/01/2019 00:00:00,33
12/01/2019 00:00:00,37
01/01/2020 00:00:00,68
03/01/2020 00:00:00,28
04/01/2020 00:00:00,45
05/01/2020 00:00:00,29
08/01/2020 00:00:00,40
09/01/2020 00:00:00,42
10/01/2020 00:00:00,45
12/01/2020 00:00:00,41
02/01/2021 00:00:00,35
03/01/2021 00:00:00,37
04/01/2021 00:00:00,65
05/01/2021 00:00:00,38
01/01/2022 00:00:00,40
03/01/2022 00:00:00,65
04/01/2022 00:00:00,56
05/01/2022 00:00:00,33
07/01/2022 00:00:00,74
08/01/2022 00:00:00,36
11/01/2022 00:00:00,56
12/01/2022 00:00:00,49
