,MVT_GT_Louisville KY
2015-02-01 00:00:00,10
2015-03-01 00:00:00,26
2015-05-01 00:00:00,26
2015-07-01 00:00:00,100
2015-08-01 00:00:00,26
2015-09-01 00:00:00,22
2016-01-01 00:00:00,11
2016-02-01 00:00:00,70
2016-04-01 00:00:00,62
2016-05-01 00:00:00,21
2016-06-01 00:00:00,25
2016-07-01 00:00:00,13
2016-10-01 00:00:00,27
2017-01-01 00:00:00,12
2017-05-01 00:00:00,23
2017-07-01 00:00:00,13
2017-08-01 00:00:00,18
2017-09-01 00:00:00,10
2017-10-01 00:00:00,15
2017-11-01 00:00:00,14
2018-01-01 00:00:00,26
2018-04-01 00:00:00,14
2018-05-01 00:00:00,25
2018-06-01 00:00:00,15
2018-07-01 00:00:00,13
2018-08-01 00:00:00,20
2018-09-01 00:00:00,21
2018-12-01 00:00:00,23
2019-01-01 00:00:00,18
2019-02-01 00:00:00,16
2019-05-01 00:00:00,26
2019-06-01 00:00:00,17
2019-08-01 00:00:00,20
2019-12-01 00:00:00,20
2020-01-01 00:00:00,8
2020-02-01 00:00:00,18
2020-03-01 00:00:00,30
2020-04-01 00:00:00,12
2020-06-01 00:00:00,23
2020-07-01 00:00:00,23
2020-08-01 00:00:00,23
2020-09-01 00:00:00,25
2020-10-01 00:00:00,33
2020-11-01 00:00:00,10
2020-12-01 00:00:00,16
2021-02-01 00:00:00,12
2021-03-01 00:00:00,22
2021-04-01 00:00:00,20
2021-05-01 00:00:00,22
2021-06-01 00:00:00,27
2021-07-01 00:00:00,22
2021-08-01 00:00:00,28
2021-09-01 00:00:00,14
2021-11-01 00:00:00,25
2021-12-01 00:00:00,12
2022-01-01 00:00:00,28
2022-02-01 00:00:00,34
2022-03-01 00:00:00,8
2022-04-01 00:00:00,14
2022-05-01 00:00:00,19
2022-06-01 00:00:00,14
2022-07-01 00:00:00,25
2022-08-01 00:00:00,20
2022-09-01 00:00:00,11
2022-10-01 00:00:00,22
2022-11-01 00:00:00,15
2022-12-01 00:00:00,11
